bPresent,nu,endpointGO,stateError,pr,deficit,observed,expected
1,0,-400,7.72342992017203e-13,3.39247568584906,-0.49559561349604,0.999999905314278,0.50440429121998
1,0,0,1.91961819546416e-14,3.39227136199953,-0.495531647586071,1,0.504468352413929
1,3,-400,9.2633542543249e-14,3.39241712153677,-0.495595708780019,1,0.50440429121998
1,3,0,1.80198414447454e-14,3.39227136199953,-0.495531647586071,1,0.504468352413929
1,6,-400,1.81099870131807e-14,3.39237633866953,-0.495595648640039,0.999999940244672,0.50440429121998
1,6,0,1.68712583660107e-14,3.39227136199953,-0.495531647586071,1,0.504468352413929
0,0,-400,3.46583471088068,6.9994430205077,0.568402022468327,0.0200926004484511,0.5870566564893
0,0,0,3.46583471088077,6.99927010015535,0.568495587133215,0.0200835640906479,0.587152486994092
0,3,-400,3.24169897435869,6.99451860932738,0.535090101549246,0.0548147644078471,0.5870566564893
0,3,0,3.2416989743587,6.99441534294242,0.535167574454772,0.0548078086113789,0.587152486994092
0,6,-400,3.04483408204334,6.97921182696981,0.488935490259,0.101579665576793,0.5870566564893
0,6,0,3.04483408204334,6.97914659739857,0.488970908812973,0.101578232172484,0.587152486994092
