network,rawVarianceRatio,normalizedVarianceRatio,minimumBlockRate
1,0.762548922065717,1.01,0.399723094468718
2,0.794999639550593,1.01,0.370612605129573
3,0.775898070660068,1.01,0.410955145253881
4,0.768530417197955,1.01,0.249601546895488
5,0.771044806364857,1.01,0.34039917771807
6,0.796650155835082,1.01,0.253757262779962
7,0.783999190097419,1.01,0.39693557037058
8,0.774443975126072,1.01,0.339194229555972
9,0.778079993416359,1.01,0.436696852765054
10,0.807022171345663,1.01,0.37434666300741
