metricID_ControlPR_BlockPR_Observed_Expected,estimate,originalResampleSD
1,5.3860834614584618,0.10849353351504434
2,8.0314168558827177,0.1492166304511115
3,32.493121686164521,1.1226239345301614
4,49.295305371483224,3.2987728284040356
