network,lambda,gainFrobenius,rateMax,stateMax,totalInputMax
1,0.1,44.2735149742823,2.42161213331732,15.3238731974656,43.8917001510405
1,0.2,31.2061587170153,2.42461916424698,15.3490068544939,31.9988687014086
1,0.5,19.6130084439756,2.44077350033448,15.3729126248369,21.9580989843058
1,1,13.7654702271758,2.4685392484231,15.419793659055,17.3620342502522
1,2,9.62206483790355,2.51181115273302,15.5222548514342,14.5265503088951
1,5,5.92901394929095,2.59084553073712,15.6564380651976,12.6020734179205
1,10,4.05609446337264,2.66415781272444,15.7385009398155,12.161018799593
1,100,0.975163122388558,2.94341105588007,15.8464811196631,11.7499229646885
2,0.1,44.2160501817194,2.34577758217725,15.2311429875542,47.1993398311997
2,0.2,31.1538156401274,2.3523771377067,15.3042987773672,34.1248888716811
2,0.5,19.5659734906526,2.35524130786272,15.4116743012132,22.9465957498426
2,1,13.7199555518647,2.3530840934214,15.5120846380381,17.7170067592525
2,2,9.57557645106825,2.34738406135575,15.6368026192334,14.4071289474257
2,5,5.87971315424981,2.33554974805705,15.8299163529818,12.4297236708284
2,10,4.0065587585028,2.34268832120823,15.978502253596,11.7002295930213
2,100,0.944964128809773,2.49942161264421,16.1993191164086,11.002103180011
3,0.1,44.2901442413268,2.22948928764991,15.9867174579288,48.1221049501674
3,0.2,31.2235658661194,2.2561505613472,16.1036586414831,34.8626573474026
3,0.5,19.6304869333156,2.30894633024243,16.2702910504641,23.5628014636395
3,1,13.7818062362857,2.36121058198894,16.3964557307686,18.3068072397235
3,2,9.63593709746835,2.41892855259471,16.5127107835184,15.0035322694738
3,5,5.93698668380083,2.49315960676414,16.6534455197997,12.9372287114007
3,10,4.05716605952811,2.54203569629442,16.7433257025447,12.3686367013114
3,100,0.949663672413151,2.71686824673018,16.9275466641976,11.8496879743212
4,0.1,44.2668782594462,2.32081864832536,16.0531637918121,40.2604155076876
4,0.2,31.1991514158376,2.34561019384962,16.0630261917541,29.3659235473265
4,0.5,19.6067121067582,2.3883919452572,16.0502232398835,20.1799730215103
4,1,13.7606242265949,2.4262724857669,16.056320548471,16.6225679267065
4,2,9.61918417401827,2.46723693895102,16.1126153034342,14.6291419778353
4,5,5.92956559303681,2.53821911309113,16.3000788683908,13.4475116404124
4,10,4.06026639693117,2.60394501924373,16.5003598621783,13.1058598541785
4,100,0.992836295214063,2.72975980492638,17.0605547862641,12.7905729502581
5,0.1,44.2817335322715,2.33828764712299,15.1333792471745,44.2769431977854
5,0.2,31.2152749159173,2.33990277354719,15.223885815357,32.1785771016397
5,0.5,19.6195218989018,2.33296082333238,15.3458162530638,21.9195962438618
5,1,13.7650951626336,2.32327344320028,15.4584906694665,17.1892793497333
5,2,9.61067310013185,2.32185127894658,15.6062228058518,14.2580472916334
5,5,5.9015626589598,2.34690771533114,15.8432588819509,12.9712107769511
5,10,4.02085564072158,2.38080797550462,16.026344136978,12.512890999684
5,100,0.951042313721548,2.54148223004554,16.4525018900436,12.0855517087498
6,0.1,44.1823103459215,2.13941451770657,15.1878057397061,49.1439629220014
6,0.2,31.1193220235329,2.15384086924214,15.2209513327259,35.4680863129569
6,0.5,19.5321020591322,2.18623575830247,15.2734588874952,23.7423414961107
6,1,13.687801494915,2.22262138115942,15.326152650025,18.2282744856116
6,2,9.54611637082754,2.26471142805302,15.3893637188786,14.7158280849304
6,5,5.85448306795997,2.32132938708801,15.474153390457,12.5732613934402
6,10,3.98421820896804,2.36210002199488,15.5187765730986,11.9502592120847
6,100,0.929840937774998,2.47983256925595,15.531792049036,11.3603833160431
7,0.1,44.2360710044672,2.0837476423189,15.5805046883682,48.3418089909104
7,0.2,31.1741045249123,2.10479645060648,15.6852056640135,35.4543115116182
7,0.5,19.5864210537172,2.12509522145391,15.838095570026,24.6790362395372
7,1,13.7397216135194,2.15573435481374,15.9760219932713,19.8260024049791
7,2,9.59371634235974,2.20351115470064,16.1321620659944,16.884257229359
7,5,5.89442919271591,2.2798209517763,16.3497057924475,15.5129360173193
7,10,4.01778995781477,2.35425870050529,16.5045881487562,15.26899526567
7,100,0.943320450535989,2.57604826250751,16.8525435284314,15.0460674501379
8,0.1,44.3004555362111,2.19671774164422,15.1187444174926,45.4740250821334
8,0.2,31.2311303559442,2.21071063089444,15.1425790293685,33.2599281190175
8,0.5,19.6344219911666,2.23302139240002,15.170487797875,23.0048763367519
8,1,13.7831145372454,2.25436227856697,15.1946826933107,18.3546045321492
8,2,9.63503339222697,2.27813725859799,15.2308244201106,16.434431473618
8,5,5.93558935381657,2.30817484441119,15.318537612091,15.2219095889923
8,10,4.05901179417468,2.34510577787328,15.4780960839658,14.7956704059079
8,100,0.97474447547255,2.49919517785803,15.9222568736355,14.4012728903587
9,0.1,44.2537924923737,2.132927982801,15.6394861420021,47.2055473549268
9,0.2,31.188236630965,2.13929344369182,15.6477288916917,34.418959129335
9,0.5,19.5982706359117,2.14739948044797,15.6825322695614,23.6314488643417
9,1,13.7529748576674,2.20905369582312,15.8287780061307,18.7004166991465
9,2,9.61152471987228,2.29080314650772,16.0012853387689,15.66319537542
9,5,5.92167869530892,2.39898772618305,16.2186354634015,13.5171650931951
9,10,4.05254202186634,2.48830634388125,16.3803289251681,13.191578951736
9,100,0.984259999459693,2.75576807318074,16.7135279638569,12.9823587913382
10,0.1,44.194269444957,1.97611465904327,15.1455510218213,45.8803994355693
10,0.2,31.1341439852616,1.98756064912704,15.2174811276806,33.7995667812284
10,0.5,19.5507614691288,2.00928690939171,15.3360683262731,23.7665839349605
10,1,13.7086900165768,2.02487061285064,15.4441811367846,19.2958659920665
10,2,9.56801690411712,2.04373442852117,15.5647533138518,16.6153667009465
10,5,5.87554871965674,2.09808535960758,15.7256555099442,14.7975440953528
10,10,4.00254165478212,2.13839280154942,15.8284713519158,14.3968896300486
10,100,0.92704454732485,2.21669101954892,15.9802532395788,14.2712658011377
