network,IntactCM,BlockCM
1,0.59553307840322223,3.5837105512507605
2,0.53603439814983611,2.6984058094427366
3,0.51014706425525391,2.8281000678740411
4,0.56997301427459224,3.4136925635566415
5,0.58206635037240295,2.7165649594239398
6,0.49926412767821188,2.9530329171311269
7,0.5339103168319761,2.7342904546814499
8,0.54032753693699642,3.0764463566498397
9,0.51032550967694468,3.3387207521257394
10,0.5901683786925489,3.9002214783128113
