network,gridIndex,alpha,betaNormalized,prIntact,prBlock,deltaPR,observedPct,expectedPct,deficitPP,kControl,captureControl,beforeControl,captureBlock,denominator
1,1,0.1,0.1,3.45326401129051,7.03705602703879,3.58379201574827,45.875790947799,45.2525477188499,-0.623243228949105,7,0.974086350986692,0.948767902614619,0.925079331206377,142.480085024387
1,2,0.1,0.25,3.45326401129051,7.19301253858658,3.73974852729607,31.4606690464638,45.2525477188499,13.7918786723861,7,0.974086350986692,0.948767902614619,0.948850780466669,142.480085024387
1,3,0.1,0.5,3.45326401129051,7.05996906084127,3.60670504955075,17.8305810659896,45.2525477188499,27.4219666528603,7,0.974086350986692,0.948767902614619,0.967399360346047,142.480085024387
1,4,0.1,0.75,3.45326401129051,6.98612325664828,3.53285924535776,12.4277822816984,45.2525477188499,32.8247654371515,7,0.974086350986692,0.948767902614619,0.973283048877398,142.480085024387
1,5,0.1,1,3.45326401129051,6.95561906265282,3.5023550513623,9.91977247214903,45.2525477188499,35.3327752467009,7,0.974086350986692,0.948767902614619,0.975756893201393,142.480085024387
1,6,0.1,1.25,3.45326401129051,6.94031531557132,3.48705130428081,8.50333032273456,45.2525477188499,36.7492173961154,7,0.974086350986692,0.948767902614619,0.97721681403976,142.480085024387
1,7,0.2,0.1,3.45326401129051,5.17163295185724,1.71836894056673,66.2503869632049,45.2525477188499,-20.997839244355,7,0.974086350986692,0.948767902614619,0.940028469954891,142.480085024387
1,8,0.2,0.25,3.45326401129051,6.10404069628613,2.65077668499562,52.3030973429364,45.2525477188499,-7.05054962408652,7,0.974086350986692,0.948767902614619,0.951820697882287,142.480085024387
1,9,0.2,0.5,3.45326401129051,6.87444962522198,3.42118561393146,33.8436977114286,45.2525477188499,11.4088500074213,7,0.974086350986692,0.948767902614619,0.966350949180493,142.480085024387
1,10,0.2,0.75,3.45326401129051,6.9859698498395,3.53270583854898,23.5276486389668,45.2525477188499,21.7248990798831,7,0.974086350986692,0.948767902614619,0.972479510489497,142.480085024387
1,11,0.2,1,3.45326401129051,6.98738121336781,3.53411720207729,17.7243396384799,45.2525477188499,27.5282080803701,7,0.974086350986692,0.948767902614619,0.975318018625458,142.480085024387
1,12,0.2,1.25,3.45326401129051,6.97675160516523,3.52348759387471,14.2096841568614,45.2525477188499,31.0428635619885,7,0.974086350986692,0.948767902614619,0.977019330211559,142.480085024387
1,13,0.35,0.1,3.45326401129051,3.93966530271659,0.486401291426071,77.0895251701585,45.2525477188499,-31.8369774513086,7,0.974086350986692,0.948767902614619,0.951970233410509,142.480085024387
1,14,0.35,0.25,3.45326401129051,4.56148024759526,1.10821623630474,67.4345276443376,45.2525477188499,-22.1819799254877,7,0.974086350986692,0.948767902614619,0.955463402772576,142.480085024387
1,15,0.35,0.5,3.45326401129051,5.87213860233101,2.4188745910405,50.5740979924194,45.2525477188499,-5.32155027356947,7,0.974086350986692,0.948767902614619,0.964150707829795,142.480085024387
1,16,0.35,0.75,3.45326401129051,6.59193339596516,3.13866938467464,38.425303257673,45.2525477188499,6.82724446117688,7,0.974086350986692,0.948767902614619,0.970209578138933,142.480085024387
1,17,0.35,1,3.45326401129051,6.85834525187923,3.40508124058871,30.0466877437984,45.2525477188499,15.2058599750515,7,0.974086350986692,0.948767902614619,0.973746170890413,142.480085024387
1,18,0.35,1.25,3.45326401129051,6.94982081880888,3.49655680751836,24.1841970156846,45.2525477188499,21.0683507031653,7,0.974086350986692,0.948767902614619,0.976049272196307,142.480085024387
1,19,0.5,0.1,3.45326401129051,3.54025434876513,0.0869903374746106,80.9355309624734,45.2525477188499,-35.6829832436235,7,0.974086350986692,0.948767902614619,0.958078911814603,142.480085024387
1,20,0.5,0.25,3.45326401129051,3.88548477459523,0.432220763304719,74.5067120869734,45.2525477188499,-29.2541643681235,7,0.974086350986692,0.948767902614619,0.959050811887224,142.480085024387
1,21,0.5,0.5,3.45326401129051,4.89614367040109,1.44287965911058,60.7544599821237,45.2525477188499,-15.5019122632738,7,0.974086350986692,0.948767902614619,0.963255341686679,142.480085024387
