network,gridIndex,alpha,betaNormalized,prIntact,prBlock,deltaPR,observedPct,expectedPct,deficitPP,kControl,captureControl,beforeControl,captureBlock,denominator
1,1,0.10000000000000001,0.10000000000000001,3.4532640112905146,7.0370560270387852,3.5837920157482706,45.875790947799018,45.252547718849911,-0.62324322894910522,7,0.97408635098669227,0.94876790261461907,0.92507933120637731,142.48008502438691
1,2,0.10000000000000001,0.25,3.4532640112905146,7.1930125385865802,3.7397485272960656,31.460669046463813,45.252547718849911,13.791878672386099,7,0.97408635098669227,0.94876790261461907,0.94885078046666915,142.48008502438691
1,3,0.10000000000000001,0.5,3.4532640112905146,7.0599690608412677,3.6067050495507531,17.830581065989612,45.252547718849911,27.421966652860299,7,0.97408635098669227,0.94876790261461907,0.96739936034604712,142.48008502438691
1,4,0.10000000000000001,0.75,3.4532640112905146,6.986123256648276,3.5328592453577614,12.427782281698436,45.252547718849911,32.824765437151477,7,0.97408635098669227,0.94876790261461907,0.97328304887739814,142.48008502438691
1,5,0.10000000000000001,1,3.4532640112905146,6.9556190626528185,3.5023550513623039,9.9197724721490292,45.252547718849911,35.332775246700884,7,0.97408635098669227,0.94876790261461907,0.97575689320139303,142.48008502438691
1,6,0.10000000000000001,1.25,3.4532640112905146,6.9403153155713229,3.4870513042808082,8.5033303227345609,45.252547718849911,36.749217396115355,7,0.97408635098669227,0.94876790261461907,0.97721681403975991,142.48008502438691
1,7,0.20000000000000001,0.10000000000000001,3.4532640112905146,5.1716329518572399,1.7183689405667253,66.250386963204903,45.252547718849911,-20.997839244354989,7,0.97408635098669227,0.94876790261461907,0.94002846995489064,142.48008502438691
1,8,0.20000000000000001,0.25,3.4532640112905146,6.1040406962861349,2.6507766849956202,52.303097342936432,45.252547718849911,-7.0505496240865213,7,0.97408635098669227,0.94876790261461907,0.95182069788228674,142.48008502438691
1,9,0.20000000000000001,0.5,3.4532640112905146,6.8744496252219776,3.4211856139314629,33.843697711428618,45.252547718849911,11.408850007421295,7,0.97408635098669227,0.94876790261461907,0.96635094918049302,142.48008502438691
1,10,0.20000000000000001,0.75,3.4532640112905146,6.9859698498394973,3.5327058385489827,23.527648638966841,45.252547718849911,21.72489907988307,7,0.97408635098669227,0.94876790261461907,0.97247951048949655,142.48008502438691
1,11,0.20000000000000001,1,3.4532640112905146,6.9873812133678079,3.5341172020772933,17.724339638479851,45.252547718849911,27.52820808037006,7,0.97408635098669227,0.94876790261461907,0.97531801862545831,142.48008502438691
1,12,0.20000000000000001,1.25,3.4532640112905146,6.9767516051652265,3.5234875938747119,14.209684156861446,45.252547718849911,31.042863561988465,7,0.97408635098669227,0.94876790261461907,0.97701933021155907,142.48008502438691
1,13,0.34999999999999998,0.10000000000000001,3.4532640112905146,3.9396653027165858,0.48640129142607114,77.089525170158538,45.252547718849911,-31.836977451308623,7,0.97408635098669227,0.94876790261461907,0.95197023341050901,142.48008502438691
1,14,0.34999999999999998,0.25,3.4532640112905146,4.5614802475952585,1.1082162363047439,67.434527644337621,45.252547718849911,-22.181979925487706,7,0.97408635098669227,0.94876790261461907,0.95546340277257591,142.48008502438691
1,15,0.34999999999999998,0.5,3.4532640112905146,5.8721386023310114,2.4188745910404967,50.574097992419389,45.252547718849911,-5.3215502735694749,7,0.97408635098669227,0.94876790261461907,0.96415070782979462,142.48008502438691
1,16,0.34999999999999998,0.75,3.4532640112905146,6.5919333959651567,3.1386693846746421,38.425303257673029,45.252547718849911,6.8272444611768792,7,0.97408635098669227,0.94876790261461907,0.9702095781389326,142.48008502438691
1,17,0.34999999999999998,1,3.4532640112905146,6.8583452518792276,3.405081240588713,30.046687743798444,45.252547718849911,15.205859975051467,7,0.97408635098669227,0.94876790261461907,0.97374617089041338,142.48008502438691
1,18,0.34999999999999998,1.25,3.4532640112905146,6.9498208188088757,3.4965568075183611,24.184197015684639,45.252547718849911,21.068350703165272,7,0.97408635098669227,0.94876790261461907,0.97604927219630733,142.48008502438691
1,19,0.5,0.10000000000000001,3.4532640112905146,3.5402543487651252,0.086990337474610602,80.935530962473408,45.252547718849911,-35.682983243623504,7,0.97408635098669227,0.94876790261461907,0.95807891181460336,142.48008502438691
1,20,0.5,0.25,3.4532640112905146,3.8854847745952332,0.43222076330471859,74.506712086973408,45.252547718849911,-29.25416436812349,7,0.97408635098669227,0.94876790261461907,0.95905081188722396,142.48008502438691
1,21,0.5,0.5,3.4532640112905146,4.8961436704010932,1.4428796591105786,60.754459982123734,45.252547718849911,-15.50191226327382,7,0.97408635098669227,0.94876790261461907,0.9632553416866787,142.48008502438691
1,22,0.5,0.75,3.4532640112905146,5.8497659914172964,2.3965019801267817,49.157410594267098,45.252547718849911,-3.9048628754171864,7,0.97408635098669227,0.94876790261461907,0.96815283485192039,142.48008502438691
1,23,0.5,1,3.4532640112905146,6.4380543491306472,2.9847903378401326,40.218267475160481,45.252547718849911,5.0342802436894321,7,0.97408635098669227,0.94876790261461907,0.97190870837400223,142.48008502438691
1,24,0.5,1.25,3.4532640112905146,6.7391023256525315,3.2858383143620169,33.339455759592809,45.252547718849911,11.913091959257105,7,0.97408635098669227,0.94876790261461907,0.97469229248756328,142.48008502438691
1,25,0.75,0.10000000000000001,3.4532640112905146,3.3125711594050933,-0.14069285188542136,84.696740536207614,45.252547718849911,-39.444192817357703,7,0.97408635098669227,0.94876790261461907,0.96416944499654023,142.48008502438691
1,26,0.75,0.25,3.4532640112905146,3.4709574573809459,0.01769344609043122,80.583016672503405,45.252547718849911,-35.330468953653494,7,0.97408635098669227,0.94876790261461907,0.96443594015452128,142.48008502438691
1,27,0.75,0.5,3.4532640112905146,4.0308996796796652,0.57763566838915059,70.724815496345272,45.252547718849911,-25.472267777495361,7,0.97408635098669227,0.94876790261461907,0.96533720402595269,142.48008502438691
1,28,0.75,0.75,3.4532640112905146,4.7838948349644141,1.3306308236738995,60.930402683288506,45.252547718849911,-15.677854964438598,7,0.97408635098669227,0.94876790261461907,0.96768193118459866,142.48008502438691
1,29,0.75,1,3.4532640112905146,5.505687927986334,2.0524239166958194,52.444045874485866,45.252547718849911,-7.1914981556359558,7,0.97408635098669227,0.94876790261461907,0.97057884772627867,142.48008502438691
1,30,0.75,1.25,3.4532640112905146,6.0596864636329597,2.6064224523424451,45.276599210827072,45.252547718849911,-0.024051491977161721,7,0.97408635098669227,0.94876790261461907,0.9733269610877171,142.48008502438691
1,31,1,0.10000000000000001,3.4532640112905146,3.3008351323643388,-0.15242887892617585,85.335393692223022,45.252547718849911,-40.082845973373104,7,0.97408635098669227,0.94876790261461907,0.96891657140614762,142.48008502438691
1,32,1,0.25,3.4532640112905146,3.3878072937318495,-0.065456717558665112,82.894441052694461,45.252547718849911,-37.641893333844557,7,0.97408635098669227,0.94876790261461907,0.96877519849506277,142.48008502438691
1,33,1,0.5,3.4532640112905146,3.7168285962551408,0.2635645849646262,75.705515242132464,45.252547718849911,-30.452967523282549,7,0.97408635098669227,0.94876790261461907,0.96887354164426764,142.48008502438691
1,34,1,0.75,3.4532640112905146,4.2345396356439213,0.78127562435340669,67.635099033925158,45.252547718849911,-22.382551315075251,7,0.97408635098669227,0.94876790261461907,0.96983715267199977,142.48008502438691
1,35,1,1,3.4532640112905146,4.8412294732553116,1.387965461964797,60.051354818896208,45.252547718849911,-14.798807100046297,7,0.97408635098669227,0.94876790261461907,0.97158744814324394,142.48008502438691
1,36,1,1.25,3.4532640112905146,5.4168009214839827,1.9635369101934681,53.192510027421903,45.252547718849911,-7.9399623085719906,7,0.97408635098669227,0.94876790261461907,0.97363801715128273,142.48008502438691
2,1,0.10000000000000001,0.10000000000000001,3.400723032724712,6.274506180874698,2.873783148149986,43.382611866051349,45.664091959300464,2.2814800932491108,6,0.96029898415448744,0.93405418728851342,0.85435673441959459,149.60158440791034
2,2,0.10000000000000001,0.25,3.400723032724712,6.9463025171651225,3.5455794844404105,28.598442155283998,45.664091959300464,17.065649804016463,6,0.96029898415448744,0.93405418728851342,0.86522245195895531,149.60158440791034
2,3,0.10000000000000001,0.5,3.400723032724712,7.0888107062558836,3.6880876735311716,15.847626023469452,45.664091959300464,29.816465935831012,6,0.96029898415448744,0.93405418728851342,0.86883615163547423,149.60158440791034
2,4,0.10000000000000001,0.75,3.400723032724712,7.0756510347305124,3.6749280020058004,11.213853275182833,45.664091959300464,34.450238684117629,6,0.96029898415448744,0.93405418728851342,0.86927074486718026,149.60158440791034
2,5,0.10000000000000001,1,3.400723032724712,7.0637824134605403,3.6630593807358283,9.1932144280735795,45.664091959300464,36.470877531226883,6,0.96029898415448744,0.93405418728851342,0.86941245967325687,149.60158440791034
2,6,0.10000000000000001,1.25,3.400723032724712,7.0532593645540915,3.6525363318293795,8.1536688574823248,45.664091959300464,37.510423101818134,6,0.96029898415448744,0.93405418728851342,0.86948665231930145,149.60158440791034
