network,s_init,s_temporal,policy,target,trial,fold,K95,capture,beforeCapture,d_precue,d_prego,ratio,C,undefinedC,moMs,peakMs,peakSpeedMps,nearZero,missingWindow,boundaryPeak,largePeakCount,denominatorGuard,peakPositionX_M,peakPositionY_M
1,0.050000000000000003,0.10000000000000001,1,1,1,1,55,0.95078095351046177,0.94908043004583098,1.4072603681606628,7.1433667843531694,5.0760804084107001,-4.0760804084107001,0,52,201,0.46246268679801933,0,0,0,1,2.2737367544323206e-13,-0.0042735488743417815,0.14996845137919035
1,0.050000000000000003,0.10000000000000001,1,1,2,3,56,0.95129060833244994,0.94968229027884621,1.3310601699668512,7.5739036594189573,5.6901286886283877,-4.6901286886283877,0,58,205,0.50572283009901398,0,0,0,1,2.2737367544323206e-13,-0.0046828890480179464,0.14586736325600147
1,0.050000000000000003,0.10000000000000001,1,1,3,2,55,0.95000596837948104,0.94834042471876667,1.3865463507422873,6.3316032232293837,4.5664562312249863,-3.5664562312249863,0,60,212,0.46624515673698719,0,0,0,1,2.2737367544323206e-13,-0.00033228690703768216,0.14805757728572722
1,0.050000000000000003,0.10000000000000001,1,1,4,3,56,0.95129060833244994,0.94968229027884621,1.2437626291124761,7.324645438740065,5.8891023635006494,-4.8891023635006494,0,58,205,0.46661324672846788,0,0,0,1,2.2737367544323206e-13,-0.0031239578539282165,0.15009292230099011
1,0.050000000000000003,0.10000000000000001,1,1,5,2,55,0.95000596837948104,0.94834042471876667,1.5566816508894274,8.4080239521985405,5.4012481918795165,-4.4012481918795165,0,54,197,0.45258195294151043,0,0,0,1,2.2737367544323206e-13,-0.0062063764542200084,0.15326650608279929
1,0.050000000000000003,0.10000000000000001,1,1,6,1,55,0.95078095351046177,0.94908043004583098,1.4960288867375977,7.4345140734580992,4.9694990112594715,-3.9694990112594715,0,59,204,0.39611356314583535,0,0,0,1,2.2737367544323206e-13,0.00065002457157675719,0.15781294352440836
1,0.050000000000000003,0.10000000000000001,1,1,7,1,55,0.95078095351046177,0.94908043004583098,1.2850177956457807,7.9203010460309402,6.1635730437885679,-5.1635730437885679,0,50,189,0.44438345609574065,0,0,0,1,2.2737367544323206e-13,-0.003520604997463872,0.15522825231384915
1,0.050000000000000003,0.10000000000000001,1,1,8,1,55,0.95078095351046177,0.94908043004583098,1.2134860019479032,6.0392988581456084,4.9768179018556857,-3.9768179018556857,0,59,202,0.42579112741835412,0,0,0,1,2.2737367544323206e-13,0.00067862193891665701,0.15552848751224277
1,0.050000000000000003,0.10000000000000001,1,1,9,1,55,0.95078095351046177,0.94908043004583098,1.3145601103021369,7.9465080718612944,6.0449940703243144,-5.0449940703243144,0,60,207,0.48050963594647517,0,0,0,1,2.2737367544323206e-13,0.0026501703600481652,0.1487271044695691
1,0.050000000000000003,0.10000000000000001,1,1,10,3,56,0.95129060833244994,0.94968229027884621,1.5368418090669285,7.3365161787092825,4.7737614472914061,-3.7737614472914061,0,54,198,0.43586239840591984,0,0,0,1,2.2737367544323206e-13,-0.0025972032644949183,0.15405990978492845
1,0.050000000000000003,0.10000000000000001,1,1,11,2,55,0.95000596837948104,0.94834042471876667,1.2720976435614642,6.8225505077514335,5.3632286344391673,-4.3632286344391673,0,58,198,0.38813615365981635,0,0,0,1,2.2737367544323206e-13,0.0041454255793765826,0.16036102965213597
1,0.050000000000000003,0.10000000000000001,1,1,12,2,55,0.95000596837948104,0.94834042471876667,1.4678003989104793,7.5799711890960912,5.1641702745976641,-4.1641702745976641,0,62,202,0.409423165771508,0,0,0,1,2.2737367544323206e-13,-0.00073242626134162325,0.15793396621017505
1,0.050000000000000003,0.10000000000000001,1,1,13,2,55,0.95000596837948104,0.94834042471876667,1.4751208618774447,6.2460908700808258,4.2342909191394522,-3.2342909191394522,0,55,211,0.48450937816457346,0,0,0,1,2.2737367544323206e-13,-0.0043682130342023173,0.14501673245326382
1,0.050000000000000003,0.10000000000000001,1,1,14,2,55,0.95000596837948104,0.94834042471876667,1.2706751006541428,7.5264783338660557,5.9232122593662444,-4.9232122593662444,0,63,194,0.33337993867026805,0,0,0,1,2.2737367544323206e-13,0.0034457756173601473,0.1680322463154752
1,0.050000000000000003,0.10000000000000001,1,1,15,3,56,0.95129060833244994,0.94968229027884621,1.4940011075990427,6.8186752599477023,4.5640362816770317,-3.5640362816770317,0,50,195,0.49845260072680764,0,0,0,1,2.2737367544323206e-13,-0.0034641489368718026,0.14766655800381689
1,0.050000000000000003,0.10000000000000001,1,1,16,1,55,0.95078095351046177,0.94908043004583098,1.4221652357174941,8.8754974632067825,6.2408342155326419,-5.2408342155326419,0,60,203,0.42467454286835477,0,0,0,1,2.2737367544323206e-13,-0.002213256977180833,0.15565577701750366
1,0.050000000000000003,0.10000000000000001,1,1,17,2,55,0.95000596837948104,0.94834042471876667,1.6294162252821749,7.6464748247412455,4.6927695367812259,-3.6927695367812259,0,59,194,0.35716334384198256,0,0,0,1,2.2737367544323206e-13,0.0018723439610787707,0.16469547834758339
1,0.050000000000000003,0.10000000000000001,1,1,18,3,56,0.95129060833244994,0.94968229027884621,1.3913398706177071,7.6406694972281812,5.4915909897960349,-4.4915909897960349,0,48,187,0.44824461407859895,0,0,0,1,2.2737367544323206e-13,-0.0029978137552676976,0.15459670444870074
1,0.050000000000000003,0.10000000000000001,1,1,19,2,55,0.95000596837948104,0.94834042471876667,1.209305812883078,7.6320796047186716,6.3111245504751254,-5.3111245504751254,0,52,208,0.53942282697293742,0,0,0,1,2.2737367544323206e-13,-0.0038976807508330213,0.1387278003773971
1,0.050000000000000003,0.10000000000000001,1,1,20,2,55,0.95000596837948104,0.94834042471876667,1.2860119624620558,8.5863171355535712,6.6767008287505822,-5.6767008287505822,0,52,192,0.45133810963203225,0,0,0,1,2.2737367544323206e-13,-0.002726040218348158,0.15420937930310974
1,0.050000000000000003,0.10000000000000001,1,1,21,3,56,0.95129060833244994,0.94968229027884621,1.4625243779899155,5.7815219212755489,3.9531114887955829,-2.9531114887955829,0,54,195,0.40044263253793039,0,0,0,1,2.2737367544323206e-13,0.0014444221643994948,0.15848937974201763
1,0.050000000000000003,0.10000000000000001,1,1,22,1,55,0.95078095351046177,0.94908043004583098,1.4716051509027024,8.7326811386561314,5.934119714992427,-4.934119714992427,0,56,198,0.40846769017128493,0,0,0,1,2.2737367544323206e-13,-0.0020009756839331483,0.15738934992871556
