network,s_init,s_temporal,deltaC,deltaR2,relativeR2LossPct,relativeLossDefined,R2Intact,R2Block
1,0.050000000000000003,0.10000000000000001,-0.85658596195244918,-0.08719940428382833,9.3429485833361277,1,0.93331782259141638,0.84611841830758805
1,0.10000000000000001,0.10000000000000001,-0.43341848124882354,-0.09771255763156983,10.490406626055419,1,0.93144680768500865,0.83373425005343882
1,0.20000000000000001,0.10000000000000001,-0.2584169246270227,-0.098164551907479081,10.84866019497769,1,0.90485414920566565,0.80668959729818657
1,0.10000000000000001,0.050000000000000003,-0.30235702446864654,-0.10800791990704328,10.959045334748671,1,0.98555956844684656,0.87755164853980328
1,0.10000000000000001,0.20000000000000001,-0.64131251872382844,-0.098186066957819951,13.357141957247004,1,0.73508290375358676,0.63689683679576681
2,0.050000000000000003,0.10000000000000001,-0.71742334525186191,-0.067502423633791109,7.4311089806763428,1,0.90837617654811154,0.84087375291432043
2,0.10000000000000001,0.10000000000000001,-0.39023472117290048,-0.056852966343871492,6.2952325288761841,1,0.90311145907776025,0.84625849273388876
2,0.20000000000000001,0.10000000000000001,-0.22394363473537582,-0.069510542338758197,7.8132155229379627,1,0.88965346130142975,0.82014291896267155
2,0.10000000000000001,0.050000000000000003,-0.26459427156682325,-0.11693460544055223,11.941938640334641,1,0.97919281753465337,0.86225821209410114
2,0.10000000000000001,0.20000000000000001,-0.54477390876430398,-0.082052002685828018,11.526568743923336,1,0.71185106781308893,0.62979906512726092
3,0.050000000000000003,0.10000000000000001,-0.80021757109311675,-0.15291215263111635,16.57086802603169,1,0.92277696250372598,0.76986480987260963
3,0.10000000000000001,0.10000000000000001,-0.4325462218949474,-0.15123398255787623,16.644133472899469,1,0.90863235868734427,0.75739837612946803
3,0.20000000000000001,0.10000000000000001,-0.25233827560567956,-0.16097151695901069,17.961068206723482,1,0.89622462932774338,0.7352531123687327
3,0.10000000000000001,0.050000000000000003,-0.29743371089569937,-0.073917356110134613,7.4602582695663919,1,0.99081497502137905,0.91689761891124444
3,0.10000000000000001,0.20000000000000001,-0.60425672958084764,-0.14981058860296936,20.265461461823836,1,0.73924094393400908,0.58943035533103971
4,0.050000000000000003,0.10000000000000001,-0.62681828781055859,-0.13567748565651472,14.270582381062123,1,0.95074946511339642,0.8150719794568817
4,0.10000000000000001,0.10000000000000001,-0.3351037705396398,-0.15825536395841489,16.65863719409839,1,0.94998985880117237,0.79173449484275749
4,0.20000000000000001,0.10000000000000001,-0.20020934386257905,-0.15336391997675447,16.561898790322434,1,0.92600445104983464,0.77264053107308017
4,0.10000000000000001,0.050000000000000003,-0.2206153689954975,-0.10213185506534894,10.295457204832143,1,0.99200893203085394,0.889877076965505
4,0.10000000000000001,0.20000000000000001,-0.48493492161712215,-0.15735537509568198,20.783258392759446,1,0.75712562545294659,0.59977025035726461
5,0.050000000000000003,0.10000000000000001,-0.62972321324539671,-0.086269736201845415,9.2356444253824765,1,0.93409546998960735,0.84782573378776194
5,0.10000000000000001,0.10000000000000001,-0.33665822447669624,-0.08186496038862856,8.7562309474260047,1,0.93493377322001447,0.85306881283138591
5,0.20000000000000001,0.10000000000000001,-0.18148197006020228,-0.08305958633205579,9.0812015551684926,1,0.91463212029230978,0.83157253396025399
5,0.10000000000000001,0.050000000000000003,-0.22228702263463007,-0.054287407359984607,5.4630549960078287,1,0.99371885144219796,0.93943144408221335
5,0.10000000000000001,0.20000000000000001,-0.46478604776186438,-0.09780450876809188,13.249652132128912,1,0.73816661594402899,0.64036210717593711
6,0.050000000000000003,0.10000000000000001,-0.76257797448185638,-0.098250267670491942,10.566095149547417,1,0.92986355204931459,0.83161328437882265
6,0.10000000000000001,0.10000000000000001,-0.3806145105661809,-0.080134878193552583,8.6962253466767958,1,0.92149035931061274,0.84135548111706016
6,0.20000000000000001,0.10000000000000001,-0.19925068242481858,-0.080995040762691151,8.9403070135857448,1,0.90595368413646871,0.82495864337377756
6,0.10000000000000001,0.050000000000000003,-0.28791287969563639,-0.053300010630035199,5.3953104525005484,1,0.98789515634512559,0.93459514571509039
