network,sampledSolutions,withinNetworkMedianEarlyErrorMM
1,3,24.1581378143553
2,3,20.5935422608288
3,3,23.0005152593083
4,3,21.544367701907
5,3,21.6456771063514
6,3,22.1606620530364
7,3,22.7588667549824
8,3,21.0417004777952
9,3,21.7124028364633
10,3,21.9078583106033
