network,policy,target,goDistanceStar,goDistanceBlock,goRelativeBlock,goNormalizedEQ,eq50ms,eq90ms,state50ms,state90ms,eqAt50,eqAt100,eqAt200,stateAt50,stateAt100,stateAt200,source
1,1,1,0.0539058736067246,3.18521444922982,1.26042527503769,1.71729400397693e-08,3,11,43,323,0.000938695143432879,0.000102553699725976,5.34110607732995e-06,0.485169168533873,0.400298778463163,0.225968381207508,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\primary_01.mat
1,1,2,0.0796348165702312,3.82484329557816,1.56992469859915,2.38546982770486e-08,3,10,25,314,0.000505864714567408,7.12787541026599e-05,4.20497908533473e-06,0.428597488531105,0.355431626926396,0.209640800015167,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\primary_01.mat
1,1,3,0.0528598303391802,3.59663144038084,1.47969254458794,9.54666488179878e-09,3,10,25,280,0.000844701362108609,7.0139475642861e-05,4.19726731597514e-06,0.408749912724886,0.313882689603337,0.165414000971967,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\primary_01.mat
1,1,4,0.06191276271414,3.28628183887278,1.37509497276337,3.03046901077124e-08,4,13,64,320,0.00232978853072601,0.000232804407235471,1.00277393984836e-05,0.545532868603589,0.401292093369351,0.214696447838456,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\primary_01.mat
1,1,5,0.0805086347925901,3.46142712101639,1.39633838985902,3.99896418352511e-08,4,12,91,333,0.00152291767728993,0.000132820443798735,6.76212021699361e-06,0.613739644030211,0.475613718197948,0.256938559400358,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\primary_01.mat
1,1,6,0.0592878144737661,3.55637985933023,1.4476159725808,9.61193199449112e-09,3,10,27,296,0.000907687249178261,9.91252309267357e-05,4.82607610338191e-06,0.40648709249229,0.309338239516118,0.186927108224148,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\primary_01.mat
1,1,7,0.0604121026656306,3.71776553565774,1.48179122772444,5.52208445838463e-09,3,10,47,305,0.000609815087062547,6.9721826883562e-05,4.37132496511927e-06,0.491849702965889,0.373553263625143,0.196569635652185,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\primary_01.mat
1,1,8,0.0534713222332997,3.44560471997812,1.35179755512141,1.00747197414546e-08,3,10,36,286,0.000886654765138642,7.31758696851041e-05,4.15190270673237e-06,0.438188913626248,0.320816715061565,0.178867767150106,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\primary_01.mat
1,2,1,0.161199120011591,3.18356115659507,1.25977104849907,0.000116953841187609,55,142,209,467,0.530868224032867,0.225444359062252,0.0393924446942155,0.921130320997269,0.885874243157539,0.528559908498627,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n01_p2.mat
1,2,2,0.240606682396262,3.83115273368918,1.57251443678168,0.0001068249967689,53,134,202,459,0.521490605621337,0.209821371516846,0.0338649881768821,0.873897610474194,0.802182318857244,0.505123163660341,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n01_p2.mat
1,2,3,0.180713698177571,3.59952611982163,1.48088344659125,0.000199646486746133,52,131,196,444,0.511909516670275,0.189947303664208,0.0385940188405216,0.888215854852944,0.805803175753132,0.488232706627908,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n01_p2.mat
1,2,4,0.117165092489562,3.28980483279202,1.37656911632894,0.000183186285083793,51,130,163,394,0.507865710436097,0.188436071603843,0.0322554145747437,0.806984239878668,0.715630714350491,0.375972288787721,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n01_p2.mat
1,2,5,0.177354333229683,3.46095006627703,1.39614594615781,0.00012960544679606,53,132,178,432,0.517407194182749,0.199258613328832,0.0347062898859529,0.832611891851449,0.745281984674016,0.429635260727811,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n01_p2.mat
1,2,6,0.177996025039653,3.55638317311388,1.44761732144856,4.90869412082494e-05,52,130,189,436,0.512774222734538,0.192073008112988,0.0349275594794049,0.863255736053158,0.772976514373354,0.468324015157172,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n01_p2.mat
1,2,7,0.19027330461124,3.69996438328329,1.47469621563213,7.40693615972439e-05,54,136,197,435,0.525625444357832,0.211695044463073,0.0359109187539455,0.912875502364379,0.834766258789008,0.490090013271997,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n01_p2.mat
1,2,8,0.146044841287883,3.4356800985956,1.34790387606919,0.000126127112975482,56,148,176,437,0.541616944559042,0.248040655443707,0.0385862779394203,0.774459983591391,0.709332958216092,0.429154136784714,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n01_p2.mat
1,3,1,3.62668664767812,2.72902795448093,1.07990713496352,0.0305090419369853,4,12,NaN,NaN,0.0237626241763073,0.029581961619994,0.0305814869510336,1.05217542549832,1.36614026287259,1.65417277746725,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n01_p3.mat
1,3,2,4.30058146695229,4.02599084905811,1.65248664633594,0.0295293148934954,3,10,NaN,NaN,0.0260920178059941,0.0292814707856276,0.0295147010713594,0.919025139289463,1.09777083722051,1.26251656935301,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n01_p3.mat
1,3,3,3.63466599342742,2.86962038360664,1.18059243984441,0.0305754790208014,4,12,NaN,NaN,0.0264877884294579,0.0300588527127346,0.0305554742842674,0.833790993825379,1.00897183286154,1.18955367770921,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n01_p3.mat
1,3,4,3.55945348166047,2.32743383466248,0.973879515635681,0.0771265266023864,4,15,NaN,NaN,0.0561845759950712,0.0744045183192922,0.0771855569049314,1.08771319530198,1.21298442144786,1.3631355054348,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n01_p3.mat
1,3,5,3.71351329165288,2.15246517331922,0.868303635830309,0.0403352143945305,4,13,NaN,NaN,0.0317094989904916,0.0392209446107476,0.0403831012570674,0.9856224035416,1.0861374413793,1.1730902810663,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n01_p3.mat
1,3,6,3.73110327400036,2.84397688652539,1.15763403501001,0.0351746628847401,3,11,NaN,NaN,0.0295026732705422,0.0346092322770196,0.0351481655485414,0.811799580974244,0.992934837187069,1.18734230259229,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n01_p3.mat
1,3,7,3.91904731478457,2.9130865773896,1.161070028375,0.0257172487431848,3,10,NaN,NaN,0.0221616062361624,0.0255110465530861,0.0257716896020431,0.830502551070332,1.03473556570308,1.21855233933572,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n01_p3.mat
1,3,8,3.35113573525778,2.55935670115639,1.00410012537038,0.0237907420022354,3,12,NaN,NaN,0.0189011895362491,0.0230498373038067,0.0238774877268125,1.01174614986197,1.19703297071543,1.27849082494061,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\resume_02\n01_p3.mat
1,4,1,3.20057760341679,0.108373549790076,0.0428846357060815,0.864704739280356,NaN,NaN,NaN,NaN,1.01903818475963,0.951099384977831,0.848821906022467,1.23040798323129,1.40976739844597,1.54134608548689,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\primary_01.mat
1,4,2,3.83396310398857,0.0852173975632179,0.034977876698767,1.04656088011002,NaN,NaN,NaN,NaN,1.06567552739496,1.12576030440326,1.08979949577254,1.11274175572236,1.18707061674955,1.20043747642968,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\primary_01.mat
1,4,3,3.60190328631566,0.0728448132007681,0.0299691332825763,0.897466144392349,NaN,NaN,NaN,NaN,1.03733716516443,1.01089103824836,0.944241763059001,1.12558518723211,1.20476822802216,1.25043258371658,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\primary_01.mat
1,4,4,3.26838518786523,0.12837648327119,0.0537171993829372,0.821448635608284,NaN,NaN,NaN,NaN,0.810420067738143,0.760381750688015,0.785895288343315,1.18425674922459,1.26141682108001,1.31113767336466,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\primary_01.mat
1,4,5,3.4355916062498,0.0958876977968572,0.0386810609808929,0.788305689440134,NaN,NaN,NaN,NaN,0.961702692816165,0.868889564788087,0.794432840524469,1.09801828541252,1.1542431389346,1.16811500037078,E:\PROJECTS\Nirvik_Sinha_Data\cerebellar-preparatory-dynamics-model\results\stage_3\current\cache\biological_revision\primary_01.mat
