network,policy,boundsPass,rateMax,rateLimit,stateMax,stateLimit,inputLimit,u0Max,bMax,feedbackMax,cbMax,totalMax,goDistanceStar,goDistanceBlock,goRelativeBlockMax
1,1,1,2.28268220399677,7.80287296457176,14.8987898427982,43.7643281972044,230.227630518708,18.0826052614353,20.0095739275405,42.9091551057411,48.0244953715848,46.0455261037416,0.0627491446744453,3.50926853250551,1.56992469859915
1,2,1,2.49912401546908,7.80287296457176,15.0425170570499,43.7643281972044,230.227630518708,18.1014187696644,20.0095739275405,0,20.0095739275405,12.2118468066999,0.173919137155431,3.50712782052096,1.57251443678168
1,3,1,2.07389620944087,7.80287296457176,15.471319290411,43.7643281972044,230.227630518708,17.9435453070711,0,42.9091551057411,42.9091551057411,44.7151821297555,3.72952340067674,2.80261979502485,1.65248664633594
1,4,1,1.89874137367977,7.80287296457176,15.3364543036213,43.7643281972044,230.227630518708,17.9435453070711,0,0,0,17.9435453070711,3.51066347540909,0.0999100426735585,0.0537171993829372
2,1,1,2.19178533024252,7.35348638927513,14.773209181939,43.9573061673552,245.057730979074,19.4019203363402,18.5601058488006,46.4947406186679,49.2402585878697,49.0115461958147,0.092688252276814,3.50626002217384,1.49652382469766
2,2,1,2.23423565855857,7.35348638927513,15.0089030009257,43.9573061673552,245.057730979074,19.6714871945852,18.5601058488006,0,18.5601058488006,11.6158840843874,0.182664210898887,3.51260643857985,1.50626542086695
2,3,1,2.16034940633168,7.35348638927513,15.6340964457388,43.9573061673552,245.057730979074,19.219993351492,0,46.4947406186679,46.4947406186679,47.8769772586395,3.58405785206568,2.46580764178177,1.14545371470017
2,4,1,1.85564948035945,7.35348638927513,15.2874850349944,43.9573061673552,245.057730979074,19.219993351492,0,0,0,19.219993351492,3.50847583793028,0.109167850598191,0.0509843395890151
3,1,1,2.10985849255421,8.45606819868657,15.2582437619328,44.9746743170356,250.839282804063,11.6607286195072,14.1564293327259,47.4509669500228,50.7902851123367,50.1678565608126,0.060371560607938,3.46569230644821,1.63339475640663
3,2,1,2.33998366805735,8.45606819868657,15.4173469278554,44.9746743170356,250.839282804063,11.6722696857609,14.1564293327259,0,14.1564293327259,12.7308704041266,0.139651277021215,3.46363144416848,1.63322537323633
3,3,1,2.03541286687261,8.45606819868657,15.8340231686105,44.9746743170356,250.839282804063,11.5887882994642,0,47.4509669500228,47.4509669500228,48.2674134027946,3.48140106839733,2.63193086965609,1.27196764880428
3,4,1,1.98844505941343,8.45606819868657,15.3986642485553,44.9746743170356,250.839282804063,11.5887882994642,0,0,0,11.5887882994642,3.46609686608718,0.094801227233498,0.042007839270162
4,1,1,2.08556079787943,7.75772984489258,15.3951316318925,44.5329002703103,209.536764228507,10.8737764609933,15.457007774952,39.1917816337309,41.9847261151547,41.9073528457014,0.109362569452032,3.46517744134385,1.53624280221161
4,2,1,2.22121568798023,7.75772984489258,15.3503247463977,44.5329002703103,209.536764228507,10.9450145894399,15.457007774952,0,15.457007774952,13.2331454912719,0.21696995393216,3.47688876133922,1.53863610662932
4,3,1,2.3143434098428,7.75772984489258,15.8168347918611,44.5329002703103,209.536764228507,10.4848476366593,0,39.1917816337309,39.1917816337309,40.3103450093674,3.7777166732148,2.79901551512781,1.24142225311874
4,4,1,2.11666682954315,7.75772984489258,15.0767885243603,44.5329002703103,209.536764228507,10.4848476366593,0,0,0,10.4848476366593,3.46040506666912,0.12169870441473,0.057689103799668
5,1,1,2.20099799300419,7.83097500131834,14.7131997168132,43.6365547246534,230.542712377979,13.0005395349309,15.4881018680646,43.2867043862418,46.8594237654201,46.1085424755957,0.0675019886640721,3.38389623527575,1.53262409767005
5,2,1,2.31731602377478,7.83097500131834,15.3338624803116,43.6365547246534,230.542712377979,13.0998362972475,15.4881018680646,0,15.4881018680646,12.9607290276519,0.147961543332529,3.38167927887502,1.53313151543727
5,3,1,2.14657654175032,7.83097500131834,15.3485862353389,43.6365547246534,230.542712377979,12.891056295004,0,43.2867043862418,43.2867043862418,43.9660253855564,3.54892226053419,2.71227864992615,1.32225631619959
5,4,1,2.04014902151193,7.83097500131834,14.6843213567217,43.6365547246534,230.542712377979,12.891056295004,0,0,0,12.891056295004,3.38973310762091,0.111622410561655,0.0500044080608691
6,1,1,2.09398919142859,7.63354294774878,14.7688690320689,43.8567423722332,256.364244044877,14.8446489570149,20.6991018568064,48.3988774076978,51.6487624537768,51.2728488089755,0.057366110572737,3.46769170306626,1.49832653971588
6,2,1,2.23612749419577,7.63354294774878,14.8303655642488,43.8567423722332,256.364244044877,14.847958401208,20.6991018568064,0,20.6991018568064,12.1485880062791,0.120349644652731,3.46796786570831,1.49072130401683
6,3,1,2.05085202828718,7.63354294774878,15.7418248921884,43.8567423722332,256.364244044877,14.5064322610825,0,48.3988774076978,48.3988774076978,48.7884436470521,3.54811193669188,2.64835211861331,1.35293679782902
6,4,1,1.89869359012143,7.63354294774878,15.0949011949743,43.8567423722332,256.364244044877,14.5064322610825,0,0,0,14.5064322610825,3.4645100559498,0.0795500413128181,0.0405044236670615
7,1,1,2.02451636866373,7.54101962932731,15.0857070232595,43.9561020255917,251.051471786349,15.1657371538367,27.0081302548986,46.7842403408892,50.154615795642,50.2102943572697,0.0762254602728211,3.44664648141056,1.5492019934152
7,2,1,2.26988979379948,7.54101962932731,15.5379402774791,43.9561020255917,251.051471786349,15.2508709694844,27.0081302548986,0,27.0081302548986,15.2953368685157,0.181460011567845,3.45846965619997,1.56630471856403
7,3,1,1.98858392481825,7.54101962932731,15.8665303623676,43.9561020255917,251.051471786349,14.8327204879741,0,46.7842403408892,46.7842403408892,47.1655557177873,3.63462219913256,2.82258799280534,1.44983313743805
7,4,1,1.80439236783713,7.54101962932731,14.9785864799364,43.9561020255917,251.051471786349,14.6831682100283,0,0,0,14.6831682100283,3.4440510606231,0.123154574653746,0.0595731190040999
8,1,1,2.07482920038064,7.57913345181378,14.8706922734537,44.1792332846921,236.13935845483,11.6039910303138,20.2015627732885,44.3041968912743,47.5526522658405,47.227871690966,0.0754829409452873,3.50567917982054,1.490284091064
8,2,1,2.25313495346552,7.57913345181378,15.1638869156276,44.1792332846921,236.13935845483,11.6483779661087,20.2015627732885,0,20.2015627732885,14.7926692701713,0.186046916389858,3.50961438602283,1.48282069864343
8,3,1,2.10905281180917,7.57913345181378,15.5232723633988,44.1792332846921,236.13935845483,11.24754915795,0,44.3041968912743,44.3041968912743,44.5246669857326,3.88301808234957,3.01400394238814,1.47152084785943
8,4,1,1.86027020541337,7.57913345181378,15.0657660188567,44.1792332846921,236.13935845483,11.24754915795,0,0,0,11.24754915795,3.50132694167084,0.128688984041463,0.0595735475410386
9,1,1,2.06592423292091,8.85221853774903,15.3149197043078,44.8209971731887,245.636350112806,12.1579896269616,16.5371031301271,45.9766350030275,48.999775161477,49.1272700225612,0.0804922618438747,3.44823607789803,1.49047408299276
9,2,1,2.35434530623179,8.85221853774903,15.9457380806064,44.8209971731887,245.636350112806,12.4451451276836,16.5371031301271,0,16.5371031301271,13.4416272612093,0.197622289126076,3.43990664850175,1.47681833294973
9,3,1,2.16736769812835,8.85221853774903,15.5594549820934,44.8209971731887,245.636350112806,12.0095622565287,0,45.9766350030275,45.9766350030275,46.6382309570587,3.57494213821575,2.7963625633108,1.29325972529197
9,4,1,2.05840322805037,8.85221853774903,15.4439462899549,44.8209971731887,245.636350112806,12.0095622565287,0,0,0,12.0095622565287,3.45144835944683,0.115993045572508,0.0523571078333237
10,1,1,1.87248434971053,7.29418466954419,15.0343296195534,44.7005420304376,238.265380376196,27.4014588771795,32.0912155718601,44.1587426067958,47.3911589074398,47.6530760752393,0.0742141431229094,3.47723384620012,1.45993889912566
10,2,1,2.02213154730606,7.29418466954419,15.4581714223339,44.7005420304376,238.265380376196,27.4885601682898,32.0912155718601,0,32.0912155718601,14.6737744823476,0.173421463972577,3.48597986170812,1.45816713780931
10,3,1,2.20385757780311,7.29418466954419,15.9639314727639,44.7005420304376,238.265380376196,27.1459817660981,0,44.1587426067958,44.1587426067958,46.902091134281,3.61929662732202,2.66807885257139,1.19004696366807
10,4,1,1.97775060724315,7.29418466954419,15.7155603573846,44.7005420304376,238.265380376196,27.1459817660981,0,0,0,27.1459817660981,3.48019241359331,0.118344227099227,0.0542028097012747
