network,intactEarlyErrorMM,blockEarlyErrorMM
1,0.000451934634064326,31.5434218162286
2,0.00128555938860693,29.1792982050142
3,0.000808629611765304,33.5758577231256
4,0.000354120860734985,33.1554160764215
5,0.000328140603948393,32.1737571608772
6,0.00770380179539311,31.8375006320083
7,0.000305941270893522,29.2133005951466
8,0.000289777576635109,33.7636782818653
9,0.000311672113228865,32.189009404641
10,0.000233649108341154,33.5532035432271
