network,direction,gridIndex,alphaIndex,betaIndex,alpha,betaNormalized,beta,rho,rank,normalizedVarianceRatio,rawVarianceRatio,minimumRate,endpointRateMax,endpointStateMax,endpointInputMax,analytical,rhoMargin,rateRealizable,modulationOK,endpointBoundsOK,tested,physical,finitePhenotype,feasible,settle,rateMax,stateMax,corticalMax,sustainedMax,feedbackMax,cbMax,totalMax,prIntact,prBlock,analyticPRBlock,analyticAI,kIntact,kBlock,commonK,intactCapture,blockCapture,blockGap,observed,expected,nullSE,nullHalfDifference,alignmentMargin,equilibriumResidual,localMaxReal,localEulerRadius,reason
1,1,1,1,1,0.1,0.1,0.348880539591662,12.1717630905769,7,0.02,0.0173153826844084,0.562864113565732,1.37348431662798,14.3047974538321,46.0455261037416,0,-23.9232007281845,1,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.36402199065121,NaN,5.50222905344635,0.598429793474371,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,modulation_envelope
1,1,2,1,2,0.1,0.25,0.872201348979155,76.0735193161058,7,0.0725,0.0565965856785891,0.555799596733111,1.45445371379816,14.3836767019467,46.0455261037416,1,39.9785554973444,1,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.36402199065121,NaN,6.85793596679673,0.231486330524801,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,modulation_envelope
1,1,3,1,3,0.1,0.5,1.74440269795831,304.294077264423,7,0.26,0.197553601249072,0.507964599460282,1.60363681028056,14.5352910626171,46.3748211651066,1,268.199113445662,1,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.36402199065121,NaN,6.98874309223626,0.0749695937979566,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,modulation_envelope
1,1,4,1,4,0.1,0.75,2.61660404693747,684.661673844952,7,0.5725,0.432871046711447,0.453995659072785,1.75281990676296,14.7114055394827,47.0987715064755,1,648.566710026191,1,1,1,1,1,1,1,0.0542563294452695,1.74718889098043,15.0761991043175,13.7262504236947,16.9154611156345,44.0630963775283,48.3453560124481,47.2774851274523,3.36402199065121,6.99938266313237,6.99767528599753,0.035324985456392,6,7,7,0.999818955910331,0.999661773319392,5.94886184819555,0.0346055584972162,0.564697437075299,0.000736563167779829,0.00153648246215643,0.498158017233556,0,-7.06973326665221,0.998586722471408,certified_feasible
1,1,5,1,5,0.1,1,3.48880539591662,1217.17630905769,7,1.01,0.762548922065717,0.399723094468718,1.90200300324536,14.9111520508141,48.9228718720118,1,1181.08134523893,1,1,1,1,1,1,1,0.0537171993829372,1.89874137367977,15.3364543036213,18.0826052614353,20.0095739275405,45.6833117389072,50.8222734802561,48.971704576336,3.36402199065121,7.00109945390725,6.99925290528152,0.0203018540275032,6,7,7,0.999818955910331,0.999664039589228,10.5152935856276,0.0199861858737043,0.564697437075299,0.000736563167779829,0.00153648246215643,0.512777389857068,0,-7.06973326665221,0.998586722471408,certified_feasible
1,1,6,1,6,0.1,1.25,4.36100674489578,1901.83798290264,7,1.5725,1.18658722731188,0.33830328820631,2.05118609972776,15.1335948763382,51.1307780678023,1,1865.74301908388,1,1,1,1,1,1,1,0.0534045208103595,2.05030277537629,15.6007491323412,22.4561254478465,23.2650366051707,47.3830253815272,53.5119383649074,50.7552681643259,3.36402199065121,7.00161347447264,6.99969177750181,0.0131256095926308,6,7,7,0.999818955910331,0.999664496637183,16.3826055024672,0.0130081292725771,0.564697437075299,0.000736563167779829,0.00153648246215643,0.519755446458195,0,-7.06973326665221,0.998586722471408,certified_feasible
1,1,7,2,1,0.2,0.1,0.348880539591662,3.04294077264423,7,0.05,0.0470819309774654,0.530527540138995,1.40999600404196,14.3220623260818,46.0455261037416,0,-33.0520230461172,1,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.36402199065121,NaN,4.12526212468351,0.829479033777519,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,modulation_envelope
1,1,8,2,2,0.2,0.25,0.872201348979155,19.0183798290264,7,0.1025,0.0860129564112314,0.527895055695706,1.47911384002292,14.4005737953644,46.0455261037416,0,-17.076583989735,1,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.36402199065121,NaN,6.00435338011818,0.505247124793935,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,modulation_envelope
1,1,9,2,3,0.2,0.5,1.74440269795831,76.0735193161058,7,0.29,0.226386342714356,0.488400516941968,1.62303633215538,14.5515614831862,46.0455261037416,1,39.9785554973444,1,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.36402199065121,NaN,6.85793596679673,0.231486330524801,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,modulation_envelope
1,1,10,2,4,0.2,0.75,2.61660404693747,171.165418461238,7,0.6025,0.461120158909374,0.440565519669139,1.77221942863778,14.7270361385246,46.6658754954105,1,135.070454642477,1,1,1,1,1,1,1,0.0540158510560967,1.775309200007,15.1040048158844,13.7683995542447,16.0457645057257,42.9091551057411,46.6658754954105,46.0455261037416,3.36402199065121,6.96756000018317,6.96656576819671,0.123604679423314,6,7,7,0.999818955910331,0.999635083956882,6.11692189105412,0.120702581202857,0.564697437075299,0.000736563167779829,0.00153648246215643,0.412060994527915,0,-7.06973326665221,0.998586722471408,certified_feasible
