network,source,amplitude,PR,observed,expected,deficit,normalizedResidualVariance,rawResidualVariance,rateMax,stateMax,inputMax,boundsPass,numericalRank
1,1,0,3.43987371232275,0.999978626937589,0.84824643432485,-0.151732192612739,0.114007858952365,0.0089295631925966,2.5556589899347,15.7349589528399,13.0385700038805,1,77
1,1,0.05,3.43920258831221,0.999994644408293,0.84824643432485,-0.151748210083443,0.114117532330001,0.00893786596931533,2.56489524904442,15.7104195119611,13.1972432687551,1,77
1,1,0.1,3.43857966718901,0.999999999999999,0.84824643432485,-0.151753565675149,0.114393995890315,0.00895923612153644,2.57503913920671,15.6887000845934,13.4110330326564,1,77
1,1,0.2,3.43746203304901,0.999978354200504,0.84824643432485,-0.151731919875654,0.115451082002963,0.00904147855917983,2.62297081972113,16.0863984930874,13.9626163772906,1,77
1,1,0.4,3.43567003526402,0.999805730492351,0.84824643432485,-0.151559296167501,0.119571234582299,0.00936332984837812,2.75338439545939,17.4341318185466,15.3873613896874,1,77
1,2,0,3.38858915791514,0.992836774246819,0.84824643432485,-0.14459033992197,0.000339373283273766,2.66317923053247e-05,2.445657650533,15.4137121934451,13.4110330326564,1,63
1,2,0.05,3.40413373296746,0.998390675879967,0.84824643432485,-0.150144241555117,0.028871280905922,0.00226146744926561,2.50112157765947,15.4842765490937,13.4110330326564,1,77
1,2,0.1,3.43857966718901,0.999999999999999,0.84824643432485,-0.151753565675149,0.114393995890315,0.00895923612153644,2.57503913920671,15.6887000845934,13.4110330326564,1,77
1,2,0.2,3.56720836960328,0.994265307246348,0.84824643432485,-0.146018872921499,0.455088895700838,0.0356213010376983,2.78349028637693,16.8290189584482,13.4110330326564,1,77
1,2,0.4,4.02130370020471,0.951950645936257,0.84824643432485,-0.103704211611407,1.76063000474148,0.137462359354204,3.31610602944719,19.439750305057,14.3918754965252,1,77
2,1,0,3.90213249384643,0.999971405098719,0.87272674582846,-0.127244659270259,0.123099832462173,0.00928717493669644,2.41382593492894,15.5755466280133,12.8633781628703,1,77
2,1,0.05,3.90293403508137,0.999992831477624,0.87272674582846,-0.127266085649164,0.123236456944721,0.00929840300991136,2.41646233155638,15.5898550575691,13.0850906362732,1,77
2,1,0.1,3.90382172766591,1,0.87272674582846,-0.127273254171541,0.123582118665323,0.00932552972637114,2.41909872818383,15.6043862543278,13.3447347155825,1,77
2,1,0.2,3.90581952487365,0.999971082631064,0.87272674582846,-0.127244336802604,0.124900242592407,0.00942747967179185,2.42437152143871,16.1049622580058,13.9690509836129,1,77
2,1,0.4,3.91071356837635,0.999741142235627,0.87272674582846,-0.127014396407167,0.130023372357306,0.0098205034311425,2.89431798005885,17.8749578762868,15.5740248023912,1,77
2,2,0,3.84413403925509,0.993622698116728,0.87272674582846,-0.120895952288268,0.00041975008175167,3.18802529820243e-05,2.22541100194132,15.2984850792869,13.3447347155825,1,62
2,2,0.05,3.86456223581172,0.998595505741754,0.87272674582846,-0.125868759913294,0.0312468125594757,0.00235843766839796,2.29743941283272,15.306472814314,13.3447347155825,1,77
2,2,0.1,3.90382172766591,1,0.87272674582846,-0.127273254171541,0.123582118665323,0.00932552972637114,2.41909872818383,15.6043862543278,13.3447347155825,1,77
2,2,0.2,4.03636279989846,0.994962798070938,0.87272674582846,-0.122236052242478,0.491682017810516,0.0370795351154646,2.74952501758852,16.645872834511,13.3480450681752,1,77
2,2,0.4,4.4922045434442,0.960435129597731,0.87272674582846,-0.0877083837692709,1.89962402822372,0.143006442550712,3.42951741864337,19.0988831595117,14.6813184165001,1,77
3,1,0,3.25029072045097,0.999982431208783,0.873455528736765,-0.126526902472019,0.113030607767645,0.00860542118145088,2.42114126523919,16.1416689652341,13.7653015777917,1,77
3,1,0.05,3.25016926221783,0.999995576473681,0.873455528736765,-0.126540047736917,0.113078510855958,0.00860931370166177,2.41842051385048,16.1407545125278,13.9100472258685,1,77
3,1,0.1,3.25011152703259,1,0.873455528736765,-0.126544471263236,0.113263859618599,0.00862372781884995,2.44270242055077,16.1452254128514,14.1036410366605,1,77
3,1,0.2,3.25016956413032,0.999982074846639,0.873455528736765,-0.126526546109874,0.114047116854932,0.00868408386542003,2.49148951264424,16.4659502631142,14.6291289871054,1,77
3,1,0.4,3.2510641321184,0.999837766637622,0.873455528736765,-0.126382237900858,0.117260048705711,0.00893052021465683,2.91783333191221,17.9579869057038,16.1622259662173,1,77
3,2,0,3.23015454472498,0.993666984762676,0.873455528736765,-0.120211456025911,0.000279871090533021,2.13754844954926e-05,2.27993438769645,15.5759404156686,14.1036410366605,1,58
3,2,0.05,3.23152019756744,0.998579943624275,0.873455528736765,-0.12512441488751,0.0285219748742243,0.00217175604911971,2.34110311236022,15.6897118747805,14.1036410366605,1,77
3,2,0.1,3.25011152703259,1,0.873455528736765,-0.126544471263236,0.113263859618599,0.00862372781884995,2.44270242055077,16.1452254128514,14.1036410366605,1,77
3,2,0.2,3.33835866171606,0.99487889430836,0.873455528736765,-0.121423365571595,0.451853348871068,0.0344017826629435,2.64631373848629,17.2085452172344,14.1036410366605,1,77
3,2,0.4,3.6951980401295,0.960031144399515,0.873455528736765,-0.0865756156627506,1.75866029804415,0.133694900158037,3.19419377310206,19.5644970482982,14.6618991918766,1,77
