network,gridIndex,alpha,betaNormalized,rateRealizable,modulationOK,inputLimit,endpointInputMax,rateMax,stateMax,componentMax,prIntact,prBlock,rankIntact,rankBlock,captureIntact15,captureBlock15,observed,expected,deltaPR,deficit,commonK,observedAdaptive,expectedAdaptive,inputAuditError,localPole,eulerRadius,tested,feasible,reason
1,1,0.1,0.1,1,0,67.0551651632818,13.0385700038805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.06973326665221,0.998586722471408,0,0,physical endpoint screen
1,2,0.1,0.25,1,0,67.0551651632818,13.0385700038805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.06973326665221,0.998586722471408,0,0,physical endpoint screen
1,3,0.1,0.5,1,0,67.0551651632818,14.9718655894234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.06973326665221,0.998586722471408,0,0,physical endpoint screen
1,4,0.1,0.75,1,1,67.0551651632818,17.6397548267236,2.1022928445811,15.832005141884,17.7418766506995,3.43857966718901,7.06016345739994,77,77,0.999157249697135,0.998566493142727,0.0958625444512841,0.84824643432485,3.62158379021092,0.752383889873566,7,0.0381722090619402,0.557739187477247,2.22044604925031e-16,-7.06973326665221,0.998586722471408,1,1,feasible
1,5,0.1,1,1,1,67.0551651632818,20.6105263624472,2.22882549084435,16.0690089804035,20.6967897373937,3.43857966718901,7.03549946903037,77,77,0.999157249697135,0.999176553127237,0.0832358280747905,0.84824643432485,3.59691980184136,0.765010606250059,7,0.0226363350047538,0.557739187477247,2.22044604925031e-16,-7.06973326665221,0.998586722471408,1,1,feasible
1,6,0.1,1.25,1,1,67.0551651632818,23.7708918427223,2.35535813710761,16.3340357529409,23.84481989784,3.43857966718901,7.02371758283453,77,77,0.999157249697135,0.999465379657486,0.0781253689905711,0.84824643432485,3.58513791564552,0.770121065334279,7,0.015159829951504,0.557739187477247,2.22044604925031e-16,-7.06973326665221,0.998586722471408,1,1,feasible
1,7,0.2,0.1,1,0,67.0551651632818,13.0385700038805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.06973326665221,0.998586722471408,0,0,physical endpoint screen
1,8,0.2,0.25,1,0,67.0551651632818,13.0385700038805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.06973326665221,0.998586722471408,0,0,physical endpoint screen
1,9,0.2,0.5,1,0,67.0551651632818,14.0082757053373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.06973326665221,0.998586722471408,0,0,physical endpoint screen
1,10,0.2,0.75,1,1,67.0551651632818,16.7599850316316,2.14405596696397,15.8587190096841,16.8584468114804,3.43857966718901,7.03294750565764,77,77,0.999157249697135,0.998631832962043,0.176702711902119,0.84824643432485,3.59436783846863,0.671543722422731,7,0.126371748401058,0.557739187477247,2.22044604925031e-16,-7.06973326665221,0.998586722471408,1,1,feasible
