network,direction,gridIndex,alpha,betaNormalized,PR,observed,expected,earlyErrorMM,endpointErrorMM,duplicatesPrimary
1,1,5,0.1,1,6.99925290528152,0.0203018540275032,0.566022633204814,31.5426453204334,91.3224542329918,1
1,2,24,0.5,1.25,6.85793596679674,0.231486330524801,0.566022633204814,20.817139656025,70.0517677050322,0
1,3,16,0.35,0.75,6.76444625543358,0.284944470731398,0.566022633204814,24.1581378143553,78.8262324948975,0
2,1,5,0.1,1,6.9994475633372,0.0176545751135446,0.582068350538755,29.2388227631339,98.1848678934881,1
2,2,24,0.5,1.25,6.89439568398799,0.213960175997725,0.582068350538755,20.5935422608288,82.4976931923228,0
2,3,16,0.35,0.75,6.82428467273785,0.266993060270835,0.582068350538755,20.3969476363732,61.8681010890123,0
3,1,5,0.1,1,6.99918200988136,0.021322930064283,0.597211042302129,33.5472139799941,102.385327437456,1
3,2,24,0.5,1.25,6.84475227688027,0.244273111287987,0.597211042302129,18.7351724478893,64.3033417633663,0
3,3,16,0.35,0.75,6.74291186413192,0.300647832031361,0.597211042302129,23.0005152593083,68.4732763631289,0
4,1,5,0.1,1,6.99923378562582,0.020635471813178,0.599871584975338,33.1219870642254,113.758170317291,1
4,2,24,0.5,1.25,6.8543755082452,0.241053924661288,0.599871584975338,14.5887709124356,48.386617456618,0
4,3,16,0.35,0.75,6.75862519274191,0.297758766080881,0.599871584975338,21.544367701907,63.1652744739765,0
5,1,5,0.1,1,6.99946358557102,0.0174243334514525,0.578727262144898,31.9921070495001,96.1999223609738,1
5,2,24,0.5,1.25,6.89741385446614,0.211278652002012,0.578727262144898,19.2448612491186,80.1705437308843,0
5,3,16,0.35,0.75,6.82925699096196,0.263825019677539,0.578727262144898,21.6456771063514,55.1280296578083,0
6,1,5,0.1,1,6.9994265778895,0.0179365760209103,0.590265257785427,31.8666146339479,91.6105081504339,1
6,2,24,0.5,1.25,6.89044654590359,0.215267737350354,0.590265257785427,14.6474003921764,60.4301994264967,0
6,3,16,0.35,0.75,6.81778298507581,0.268006252686264,0.590265257785427,22.1606620530364,63.7001322645572,0
7,1,5,0.1,1,6.99928627797426,0.0198652741537926,0.579206562625205,29.1799524085961,86.034090118298,1
7,2,24,0.5,1.25,6.86415944725464,0.23049463511784,0.579206562625205,18.9604636458167,75.8249248102093,0
7,3,16,0.35,0.75,6.77463070273819,0.284793023605492,0.579206562625205,22.7588667549824,68.3527416278484,0
8,1,5,0.1,1,6.99932363600543,0.0193772237008429,0.584039716202758,33.8890740122117,94.7388707548592,1
8,2,24,0.5,1.25,6.87113947276441,0.228783665023549,0.584039716202758,20.3801371119538,77.54818443462,0
8,3,16,0.35,0.75,6.78606769279901,0.283436640953041,0.584039716202758,21.0417004777952,58.7106067400552,0
9,1,5,0.1,1,6.99920244806724,0.0210451189551721,0.594234790236303,32.0460888728304,104.469717676993,1
9,2,24,0.5,1.25,6.84854778095003,0.241973347231787,0.594234790236303,17.5911918818558,75.8621274525471,0
9,3,16,0.35,0.75,6.74910590419516,0.297890788654211,0.594234790236303,21.7124028364633,70.1615764705084,0
10,1,5,0.1,1,6.99925392233643,0.0203595205275917,0.629441889582223,33.4195102995949,85.314437834654,1
10,2,15,0.35,0.5,6.26344083331624,0.469203340718903,0.629441889582223,21.9078583106033,69.7380104525921,0
10,3,24,0.5,1.25,6.85812546563529,0.239228406970309,0.629441889582223,17.9344020607272,75.3971035068507,0
