network,policy,stateError,PR,observed,expected,K,corticalMax,sustainedMax,feedbackMax,cbMax,totalMax,belowNull
1,1,1.79400967850025e-14,3.35113155897186,1,0.519280670247775,6,165.602511049626,166.353213725601,9.74988680016499,173.920968359873,149.959161908888,-0.480719329752225
1,2,3.28328792041082,6.99422800272116,0.0552849471426237,0.566022633204814,7,112.526866340111,166.353213725601,10.7222160094604,177.027904767178,113.700202678406,0.51073768606219
1,3,1.92233992242831e-14,3.35113155897186,1,0.519280670247775,6,165.602511049626,166.353213725601,9.74988680016499,173.920968359873,140.236979209494,-0.480719329752225
1,4,3.50990060081059,6.99925290528152,0.0203018540275032,0.566022633204814,7,112.526866340111,166.353213725601,11.4646376549295,177.761076427059,112.526866340111,0.545720779177311
2,1,1.7922341251299e-14,3.87785510591372,0.999999999999999,0.473678078673378,5,168.145876638321,169.961946652553,10.2508115917745,177.721173148659,157.900726175849,-0.526321921326621
2,2,3.28055733656629,6.99543685467572,0.0485349479223989,0.582068350538755,7,114.35757006593,169.961946652553,10.9575897322871,180.895768065578,116.546281393359,0.533533402616356
2,3,1.9117357803594e-14,3.87785510591372,0.999999999999999,0.473678078673378,5,168.145876638321,169.961946652553,10.2508115917745,177.721173148659,147.675771426656,-0.526321921326621
2,4,3.50696887523442,6.99944756333721,0.0176545751135446,0.582068350538755,7,114.35757006593,169.961946652553,11.7139506428739,181.647125479736,114.35757006593,0.56441377542521
3,1,1.83135456913068e-14,3.19316170308709,1,0.490215181776057,5,171.313081964861,174.182645759814,10.400309538264,182.524765342596,160.88376897701,-0.509784818223942
3,2,3.24245966804642,6.99344912866076,0.0582121683275375,0.597211042302129,7,113.721954444342,174.182645759814,11.195568739577,185.356300468698,115.804607740174,0.538998873974592
3,3,1.9622255522302e-14,3.19316170308708,0.999999999999999,0.490215181776057,5,171.313081964863,174.182645759814,10.400309538264,182.524765342596,150.512111678469,-0.509784818223942
3,4,3.46635986292276,6.99918200988136,0.021322930064283,0.597211042302129,7,113.721954444342,174.182645759814,11.9648535698883,186.120771993607,113.721954444342,0.575888112237846
