variant,prIntact,prBlock,observed,expected,K,stateError,corticalMax,sustainedMax,feedbackMax,cbMax,totalMax
1,3.35113155897186,6.99850261356769,0.035419388668755,0.566022633204815,7,3.42453990300159,162.055002689547,162.729028569496,11.2120818100851,173.885456450383,149.959161908888
2,3.35113155897186,6.99750702455139,0.054882693163797,0.566022633204813,7,3.33766166619568,158.4487268304,159.043572227673,10.9556598416613,169.944818416401,149.959161908888
3,3.35113155897186,6.99925290528152,0.0203018540275032,0.565953402578467,7,3.50990060081059,164.458803521454,165.212859760037,11.4646376549295,176.619959298063,148.986780701576
4,3.35113155897186,6.99925290528152,0.0203018540275032,0.566026787236597,7,3.50990060081059,166.746256433259,167.493651109265,11.4646376549295,178.902261922244,150.931576758692
