network,lambda,careResidual,rateMax,rateLimit,stateMax,stateLimit,worstPole,eulerRadius
1,0.1,1.03076787797804e-14,2.28268220399677,7.80287296457176,14.8987898427982,43.7643281972044,-7.04631444925122,0.998590741075849
1,0.2,1.24749582713129e-14,2.2858248535753,7.80287296457176,14.8867263559706,43.7643281972044,-7.03565178650484,0.998592873813197
1,0.5,1.47553903711785e-14,2.29614580126704,7.80287296457176,14.8993035428626,43.7643281972044,-7.03204145827571,0.998593596078775
1,1,1.77892660189024e-14,2.30986032179479,7.80287296457176,14.935950223055,43.7643281972044,-7.01746818826399,0.998596648224085
1,2,1.27131419047351e-14,2.32824479757097,7.80287296457176,14.9718336444248,43.7643281972044,-6.99298007829506,0.998601550179625
1,5,1.89141062428146e-14,2.3569948823759,7.80287296457176,15.0113535671922,43.7643281972044,-7.00565531948763,0.998599020474662
1,10,1.70457113593503e-14,2.38055089501373,7.80287296457176,15.0314336011113,43.7643281972044,-7.03157927131046,0.998593840547754
1,100,3.33979334241076e-14,2.46036792834846,7.80287296457176,15.04575805322,43.7643281972044,-6.75158715067682,0.998649682569865
2,0.1,1.02963259757614e-14,2.19178533024252,7.35348638927513,14.773209181939,43.9573061673552,-6.952072748141,0.998609674150965
2,0.2,9.50216413927815e-15,2.19228135721789,7.35348638927513,14.7860228806881,43.9573061673552,-6.9284807490151,0.998614392550966
2,0.5,1.0234273223682e-14,2.19202596091885,7.35348638927513,14.7872758082738,43.9573061673552,-6.90112923905841,0.998619862558803
2,1,1.40471810579624e-14,2.19118504783344,7.35348638927513,14.7713561959432,43.9573061673552,-6.87984400821394,0.998624119209457
2,2,1.06226986370361e-14,2.18986922117706,7.35348638927513,14.7459120315073,43.9573061673552,-6.85778217749227,0.998628531334954
2,5,1.32776987848262e-14,2.18822244666354,7.35348638927513,14.7623732776623,43.9573061673552,-6.83004241914901,0.99863407954768
2,10,1.63974580487037e-14,2.18910616596984,7.35348638927513,14.7739699550532,43.9573061673552,-6.81176663538013,0.99863773553801
2,100,2.97528368277411e-14,2.21628268379491,7.35348638927513,14.9301463573441,43.9573061673552,-6.76389607154489,0.998647315388539
3,0.1,1.17456300546689e-14,2.10985849255421,8.45606819868657,15.2582437619328,44.9746743170356,-7.60389683697939,0.998479220632604
3,0.2,1.01799662157178e-14,2.11198515899623,8.45606819868657,15.281449772606,44.9746743170356,-7.52174309333135,0.99849576673989
3,0.5,9.14959973806018e-15,2.11829962846365,8.45606819868657,15.3062756736082,44.9746743170356,-7.28122109300659,0.998543896041432
3,1,1.12231834904462e-14,2.13927677693868,8.45606819868657,15.3186985502502,44.9746743170356,-7.08384983644665,0.998583380670777
3,2,1.12799528257062e-14,2.16037029513615,8.45606819868657,15.3247918841845,44.9746743170356,-6.95393975817823,0.998609372785201
3,5,1.12433461528503e-14,2.18429939202517,8.45606819868657,15.3240387537005,44.9746743170356,-6.85108762471104,0.998629956694023
3,10,2.24398353614388e-14,2.21085318898339,8.45606819868657,15.3185428937808,44.9746743170356,-6.79725230421686,0.998640732413793
3,100,3.0398994363772e-14,2.29756515869953,8.45606819868657,15.3229173410426,44.9746743170356,-6.67573268731132,0.99866504048309
4,0.1,1.25327176606923e-14,2.08556079787943,7.75772984489258,15.3951316318925,44.5329002703103,-6.78661327885689,0.998642991965929
4,0.2,1.23752754509412e-14,2.09155593394311,7.75772984489258,15.3817319669678,44.5329002703103,-6.77496720411032,0.998645320344098
4,0.5,1.37888341055881e-14,2.10208474309245,7.75772984489258,15.3488349933619,44.5329002703103,-6.77231626280664,0.998645848975141
4,1,1.53141999939749e-14,2.11270673118197,7.75772984489258,15.3180216413788,44.5329002703103,-6.78027966506063,0.998644254576143
4,2,1.22765981649683e-14,2.12651694887389,7.75772984489258,15.2868863340093,44.5329002703103,-6.79437263361187,0.998641434104017
4,5,1.56668864831735e-14,2.14835508583459,7.75772984489258,15.250313245243,44.5329002703103,-6.81438142551919,0.998637431437918
