delay_ms,target_angle_deg,full_prep_rms_speed_m_per_s,final_150ms_rms_speed_m_per_s,final_100ms_rms_speed_m_per_s,maximum_pre_go_speed_m_per_s
500,-90,0.00301537289794337,0.00192954760351141,0.00216551103035085,0.00585601897910237
510,-90,0.00304317673684648,0.0022041486955422,0.00247492868226769,0.00585601897910237
520,-90,0.00318083063471808,0.00289489426196337,0.00333241792460513,0.00818079803138971
530,-90,0.00351510880065144,0.00410520542160523,0.004842965867765,0.0124060064554214
540,-90,0.00415284261708198,0.00592459553567348,0.00710199200094364,0.0180712677538395
550,-90,0.00517956178632365,0.00843723102663457,0.010203963550294,0.0250926353037357
560,-90,0.00661319127511508,0.0116563753591406,0.0141694418861433,0.0332193672657013
570,-90,0.00844105115473201,0.0155911453307499,0.0190125643746175,0.0424660481512547
580,-90,0.0106551317063748,0.0202723489146382,0.024770250559491,0.0528169721364975
590,-90,0.0132426666089735,0.0257161665398273,0.0314583912336331,0.0641652345657349
600,-90,0.0161920598570342,0.0319339365459121,0.0390849644481663,0.0764516592025757
500,-45,0.00482655222222163,0.00662513056738722,0.00587087432950261,0.00812617596238852
510,-45,0.00490720357745468,0.00666701666196198,0.00586087809770642,0.00879006925970316
520,-45,0.00512460815964331,0.00703490422941995,0.00649260062525689,0.0126862907782197
530,-45,0.00552895465986089,0.00787993116353827,0.00788621859402455,0.017025463283062
540,-45,0.0061511479297087,0.00926923219902547,0.00998642209847624,0.0217403434216976
550,-45,0.00700816893681792,0.0111987650742403,0.0127108809546234,0.0269551742821932
560,-45,0.00811317665523947,0.013666283354477,0.0160328830501815,0.0328713059425354
570,-45,0.00947604871629955,0.0166818832476369,0.0199657065906487,0.0395102724432945
580,-45,0.0110984097966003,0.0202416765403544,0.0245088849384845,0.0468492470681667
590,-45,0.0129828520721768,0.0243568213100865,0.0296686264619323,0.0549623779952526
600,-45,0.0151320902252091,0.0290438524417525,0.0354598772662012,0.0637866482138634
500,0,0.00514969914158876,0.00532775222168218,0.00429427095214916,0.00885276962071657
510,0,0.00517694182525395,0.00514177187669003,0.00452165186790226,0.00885276962071657
520,0,0.00525171079761462,0.00519037426165196,0.00503164819969577,0.00885276962071657
530,0,0.00540226421342192,0.00558872301946953,0.00590151006312612,0.0112789086997509
540,0,0.00567279467801448,0.00644305606941683,0.00722084956407368,0.0147048532962799
550,0,0.00612521861096229,0.00783983092685488,0.00910560784043252,0.019208412617445
560,0,0.00683505856198067,0.00984488268743137,0.011684715598895,0.0250400267541409
570,0,0.0079076487319611,0.0126048994999121,0.0151590354841154,0.0327308513224125
580,0,0.00940289453641904,0.0161854638307157,0.0196113794895219,0.0418373309075832
590,0,0.011355850909146,0.0206430294221611,0.0251162504927582,0.0524983108043671
600,0,0.0137952361287637,0.0260565112343333,0.03176876190294,0.0649340897798538
500,45,0.00491578740410139,0.00693583071973647,0.00588827825367016,0.00895090494304895
510,45,0.00488805893321968,0.00666674508201147,0.0053183442557658,0.00895090494304895
520,45,0.00487954641360987,0.00638989992263924,0.00486349429782668,0.00895090494304895
530,45,0.00493205174911951,0.00623985189833316,0.00483264008795754,0.00895090494304895
540,45,0.00512612204806212,0.00650641453217553,0.00564817957977662,0.012568942271173
550,45,0.00558631304122666,0.00754916796524492,0.00763268758472584,0.0188383776694536
560,45,0.00643857077593517,0.00961176214513233,0.01078319145288,0.0264717359095812
570,45,0.00774469381743062,0.0126946005684406,0.0149772542042747,0.0353615693747997
580,45,0.00954049609522717,0.0167800154730289,0.0202258505175167,0.0457306802272797
590,45,0.0118242210783679,0.0218311314358848,0.0265518710009128,0.0573865845799446
600,45,0.0145630923980398,0.0277983448818918,0.0339363688710423,0.0700410231947899
500,90,0.00351005008810697,0.00517047895952269,0.00512340557302109,0.0101775536313653
510,90,0.00390785442892247,0.00600111547208275,0.00632313299653652,0.0136141460388899
520,90,0.00449698409996266,0.00723763125031048,0.00806788911597658,0.0174819324165583
530,90,0.00529898865026612,0.00891867039600632,0.0103449534953576,0.0220723170787096
540,90,0.00634016945783535,0.0110925907233202,0.0131892457302481,0.0275303386151791
550,90,0.00763871878251835,0.0137978781477868,0.0166396724891493,0.0337905175983906
560,90,0.00918632108983999,0.0170230005190518,0.0206817773106844,0.0406557656824589
570,90,0.0109725526856587,0.0207556310835961,0.0253045795609461,0.0480732619762421
580,90,0.0129840307451583,0.0249798744391991,0.0304911055019344,0.055948231369257
590,90,0.0152150328554623,0.0296953642390907,0.0362378527351092,0.064453661441803
600,90,0.0176793242694551,0.0349409464170833,0.0425881295860967,0.0736914798617363
500,135,0.00501610550596562,0.00560958724466698,0.00577442877331827,0.00878506805747747
510,135,0.00497367820893458,0.00553020812031958,0.00543332098640887,0.00878506805747747
520,135,0.00496215984493524,0.00550338760832984,0.00517375921694663,0.00878506805747747
530,135,0.00503669818756883,0.00571516058806704,0.00533679952942309,0.00900495517998934
540,135,0.00527997485460591,0.00641723917773151,0.00632415914000054,0.0139138242229819
550,135,0.00578084223788383,0.00780329882418934,0.00829594409288695,0.0196636635810137
560,135,0.00661866145172683,0.00995581101765907,0.0112388372964915,0.0265463665127754
570,135,0.0078658506531931,0.0129459436060539,0.0151798482888981,0.0348426699638367
580,135,0.00954482313716318,0.0167815464134182,0.0200997224647881,0.0442927964031696
590,135,0.0116540096368818,0.0214595295436649,0.0259970987218911,0.0548851378262043
600,135,0.0141756969812842,0.0269657219995717,0.0328617671039803,0.0664803683757782
500,180,0.00516796633177955,0.00773225402110245,0.00882761163784848,0.0159486774355173
510,180,0.00574176106716266,0.00906103031605976,0.0104346698295467,0.0194993279874325
520,180,0.00650343430593889,0.010746196380676,0.0125314392453533,0.0238841939717531
530,180,0.00747848200378582,0.0128396211814843,0.0151642422428338,0.0289163254201412
540,180,0.0086655265392504,0.0153477904665846,0.0183152855643251,0.0343906953930855
550,180,0.0100558347114963,0.0182673901035658,0.0219592363246099,0.0402864776551723
560,180,0.0116399905743727,0.0215945515176832,0.0260759592841975,0.0465768948197365
570,180,0.0134079123070598,0.0253220034755023,0.0306464943422565,0.053228285163641
580,180,0.0153499271647947,0.029440731427332,0.0356535022917585,0.0602106191217899
590,180,0.0174575752598986,0.0339419239735971,0.0410806706502459,0.0675124451518059
600,180,0.0197228253015971,0.0388157023434832,0.046908417658581,0.0750597566366196
500,225,0.00660658557973207,0.00960160812472717,0.00809753920028347,0.0139883048832417
510,225,0.00697222403383658,0.0101902923272715,0.009085468296502,0.0182924848049879
520,225,0.00753839153920858,0.0112267393266456,0.0109654834854983,0.0229773167520761
530,225,0.00832675347966193,0.0127913826532974,0.0136174353514913,0.0281081777065992
540,225,0.00934956063997607,0.0149260517518209,0.0169149812305851,0.0337471291422844
550,225,0.0106130966913328,0.0176416796928221,0.0207834192502399,0.0399604290723801
560,225,0.0121190904694983,0.0209302044073957,0.0251871185951868,0.0467480942606926
570,225,0.0138611407615379,0.0247640545412453,0.0301003221639073,0.0540413483977318
580,225,0.0158330712241862,0.0291197483781059,0.0355149964967778,0.0618534684181213
590,225,0.0180264029290029,0.03397343619811,0.0414235982744199,0.0701224431395531
600,225,0.0204290533870387,0.0392981749524191,0.0478104849236152,0.0787531659007072
