network,eta,s_init,s_temporal,condition,target,trial,fold,referenceK95,capture,captureBefore,d_cue,d_prego,distanceRatio,C,undefinedC,moMs,peakMs,peakSpeed,nearZero,missingWindow,boundaryPeak,largePeakCount
1,0,0.050000000000000003,0.10000000000000001,1,1,1,1,55,0.95078095351046177,0.94908043004583098,2.1665040801317565,7.1433667843531694,3.2971859364874789,-2.2971859364874789,0,52,201,0.46246268679801933,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,2,3,56,0.95129060833244994,0.94968229027884621,2.8126207681876876,7.5739036594189573,2.6928278938575865,-1.6928278938575865,0,58,205,0.50572283009901398,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,3,2,55,0.95000596837948104,0.94834042471876667,2.7563136259145828,6.3316032232293837,2.2971272803284388,-1.2971272803284388,0,60,212,0.46624515673698719,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,4,3,56,0.95129060833244994,0.94968229027884621,2.0200904810689808,7.324645438740065,3.6258996848814653,-2.6258996848814653,0,58,205,0.46661324672846788,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,5,2,55,0.95000596837948104,0.94834042471876667,2.4057185866875841,8.4080239521985405,3.4950155844185771,-2.4950155844185771,0,54,197,0.45258195294151043,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,6,1,55,0.95078095351046177,0.94908043004583098,1.9356286321473546,7.4345140734580992,3.840878332746283,-2.840878332746283,0,59,204,0.39611356314583535,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,7,1,55,0.95078095351046177,0.94908043004583098,2.4188478660581803,7.9203010460309402,3.2744105808266797,-2.2744105808266797,0,50,189,0.44438345609574065,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,8,1,55,0.95078095351046177,0.94908043004583098,2.1293584538677086,6.0392988581456084,2.8362058286504044,-1.8362058286504044,0,59,202,0.42579112741835412,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,9,1,55,0.95078095351046177,0.94908043004583098,2.3595190539215909,7.9465080718612944,3.3678507739337649,-2.3678507739337649,0,60,207,0.48050963594647517,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,10,3,56,0.95129060833244994,0.94968229027884621,2.0831664436546911,7.3365161787092825,3.5218098875662358,-2.5218098875662358,0,54,198,0.43586239840591984,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,11,2,55,0.95000596837948104,0.94834042471876667,2.4394336857129111,6.8225505077514335,2.796776377939366,-1.796776377939366,0,58,198,0.38813615365981635,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,12,2,55,0.95000596837948104,0.94834042471876667,2.2516460863459704,7.5799711890960912,3.366413236547785,-2.366413236547785,0,62,202,0.409423165771508,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,13,2,55,0.95000596837948104,0.94834042471876667,1.9862330898828795,6.2460908700808258,3.1446917795781628,-2.1446917795781628,0,55,211,0.48450937816457346,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,14,2,55,0.95000596837948104,0.94834042471876667,2.4303954085725832,7.5264783338660557,3.0968122747921489,-2.0968122747921489,0,63,194,0.33337993867026805,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,15,3,56,0.95129060833244994,0.94968229027884621,2.2404317771401243,6.8186752599477023,3.0434648042046759,-2.0434648042046759,0,50,195,0.49845260072680764,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,16,1,55,0.95078095351046177,0.94908043004583098,2.5342420768482787,8.8754974632067825,3.5022295400622636,-2.5022295400622636,0,60,203,0.42467454286835477,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,17,2,55,0.95000596837948104,0.94834042471876667,2.410317830997315,7.6464748247412455,3.1723927551817392,-2.1723927551817392,0,59,194,0.35716334384198256,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,18,3,56,0.95129060833244994,0.94968229027884621,2.4768945846694055,7.6406694972281812,3.0847778280592397,-2.0847778280592397,0,48,187,0.44824461407859895,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,19,2,55,0.95000596837948104,0.94834042471876667,2.3145765114324197,7.6320796047186716,3.2973978466563691,-2.2973978466563691,0,52,208,0.53942282697293742,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,20,2,55,0.95000596837948104,0.94834042471876667,2.4136498666933242,8.5863171355535712,3.55739962702906,-2.55739962702906,0,52,192,0.45133810963203225,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,21,3,56,0.95129060833244994,0.94968229027884621,2.0332780511944599,5.7815219212755489,2.8434487441986418,-1.8434487441986418,0,54,195,0.40044263253793039,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,22,1,55,0.95078095351046177,0.94908043004583098,2.4816098989514845,8.7326811386561314,3.5189580531355125,-2.5189580531355125,0,56,198,0.40846769017128493,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,23,2,55,0.95000596837948104,0.94834042471876667,2.4258835245906871,6.588220231765435,2.715802372612695,-1.715802372612695,0,55,203,0.42668400960673697,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,24,3,56,0.95129060833244994,0.94968229027884621,2.4473321137361497,7.3270284260512177,2.9938839869451224,-1.9938839869451224,0,57,190,0.39951340406696206,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,25,3,56,0.95129060833244994,0.94968229027884621,2.4540099562259647,7.9488709413856782,3.2391355712387941,-2.2391355712387941,0,62,204,0.41238952491755665,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,26,1,55,0.95078095351046177,0.94908043004583098,2.250290298927367,8.171929259118194,3.631500017137105,-2.631500017137105,0,63,206,0.46507552525141871,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,27,1,55,0.95078095351046177,0.94908043004583098,2.1588225286753491,7.7483544241130931,3.5891576640472964,-2.5891576640472964,0,65,207,0.38294106350374502,0,0,0,1
1,0,0.050000000000000003,0.10000000000000001,1,1,28,3,56,0.95129060833244994,0.94968229027884621,2.3672951715634247,9.7784400458299743,4.1306382758226272,-3.1306382758226272,0,64,211,0.38942204556318744,0,0,0,1
