network,eta,s_init,s_temporal,condition,rep,r2,lambdaIndex1,lambdaIndex2,lambdaIndex3,fullLambdaIndex
1,0,0.050000000000000003,0.10000000000000001,2,13,-0.017825221449019546,25,22,25,25
1,0,0.050000000000000003,0.10000000000000001,2,14,-0.0059614734823059123,23,25,23,24
1,0,0.050000000000000003,0.10000000000000001,2,15,-0.0068926400183415559,24,25,25,25
1,0,0.050000000000000003,0.10000000000000001,2,16,-0.012684899340456024,25,25,25,25
1,0,0.050000000000000003,0.10000000000000001,2,17,-0.0082769491095482373,25,22,25,25
1,0,0.050000000000000003,0.10000000000000001,2,18,-0.011590094386426442,25,25,24,25
1,0,0.050000000000000003,0.10000000000000001,2,19,-0.0096247515104728176,24,24,25,25
1,0,0.050000000000000003,0.10000000000000001,2,20,-0.010750137691382555,25,23,25,25
1,0,0.050000000000000003,0.10000000000000001,2,21,-0.0088894853482162084,25,25,22,25
1,0,0.050000000000000003,0.10000000000000001,2,22,-0.0088862089821986068,25,25,23,25
1,0,0.050000000000000003,0.10000000000000001,2,23,-0.0094642658541439495,25,25,21,25
1,0,0.050000000000000003,0.10000000000000001,2,24,-0.01134064740601981,22,25,25,25
1,0,0.050000000000000003,0.10000000000000001,2,25,-0.011628431232734382,25,21,25,22
1,0,0.050000000000000003,0.10000000000000001,2,26,-0.012665719096256467,24,25,25,25
1,0,0.050000000000000003,0.10000000000000001,2,27,-0.004908288086399093,21,21,22,21
1,0,0.050000000000000003,0.10000000000000001,2,28,-0.0092759463047622503,21,25,25,25
1,0,0.050000000000000003,0.10000000000000001,2,29,-0.012141994845900062,23,21,22,22
1,0,0.050000000000000003,0.10000000000000001,2,30,-0.0056981066343599895,21,24,21,21
1,0,0.050000000000000003,0.10000000000000001,2,31,-0.011435860925326891,22,22,22,22
1,0,0.050000000000000003,0.10000000000000001,2,32,-0.020549892858256591,24,24,22,23
1,0,0.050000000000000003,0.10000000000000001,2,33,-0.0068582748346894817,21,25,25,23
1,0,0.050000000000000003,0.10000000000000001,2,34,-0.0063885794396405515,21,22,25,22
1,0,0.050000000000000003,0.10000000000000001,2,35,-0.013942578176564302,21,24,24,22
1,0,0.050000000000000003,0.10000000000000001,2,36,-0.015944763226988012,25,22,25,25
1,0,0.050000000000000003,0.10000000000000001,2,37,-0.013714984477235292,25,25,25,25
1,0,0.050000000000000003,0.10000000000000001,2,38,-0.0066138863733862241,21,25,21,22
1,0,0.050000000000000003,0.10000000000000001,2,39,-0.0079076328435372378,25,25,25,25
