network,eta,s_init,s_temporal,condition,convergence,pr,r2,bias,dispersion,mo,peakTime,peakSpeed,endpoint,separation,shuffle,matched,Control95K,observed,expected,deficit,undefinedC,evaluable,predictionEvaluable,finite,prepBounds,prepRateMax,prepStateMax,prepInputMax,rateLimit,stateLimit,inputLimit,movementRateMax,movementStateMax,nearZero,missingWindow,boundaryPeak,multiPeak,prepPC75,movePC75,mean_d_cue,mean_d_prego,mean_ratio
1,0,0.050000000000000003,0.10000000000000001,1,-2.3308981153707924,3.4399427088586454,0.93331782259141638,0.85156349193301351,2.9175057123150205,56,201,0.42333642001432265,29.353859926409697,5.0373190295392725,-0.011843719522224738,0.93331782259141638,7,0.4054118329853782,0.45298320706428225,0.04757137407890405,0,1,1,1,1,2.9352791047944997,17.605351846019815,18.169140034434587,7.8028729645717618,43.764328197204449,67.055165163281757,2.9532519627594311,22.979167919896021,0,0,0,0,13,8,2.341239441075682,7.7080958230334122,3.3308981153707933
1,0,0.050000000000000003,0.10000000000000001,2,-2.6547571304184467,6.4160091220348798,0.79597270570763889,0.86355824049267271,3.2902707516476468,48,226,0.26519658276703673,69.587724118038096,1.4536887210845515,-0.010998556177288288,0.89550513781824481,7,0.4054118329853782,0.45298320706428225,0.04757137407890405,0,1,1,1,1,3.0663752184836532,18.519858255598642,18.169140034434587,7.8028729645717618,43.764328197204449,67.055165163281757,3.1929126630354099,23.323546706467447,0,0,24,80,15,15,2.3894931801103088,8.6276133928344443,3.6547571304184476
1,0,0.10000000000000001,0.10000000000000001,1,-1.4000576093817796,3.4532640112905146,0.93144680768500865,0.85060223681266345,3.015084511380592,56,201,0.4230696797653466,29.409284981963683,5.0329707766047367,-0.011633956069546758,0.93144680768500865,7,0.4021826747516048,0.45252547718849911,0.050342802436894318,0,1,1,1,1,2.9643607341042837,17.578350409414199,18.169140034434587,7.8028729645717618,43.764328197204449,67.055165163281757,3.0067579893509162,23.001818947620119,0,0,0,0,14,8,3.4473557584937264,8.1946687682231794,2.4000576093817805
1,0,0.10000000000000001,0.10000000000000001,2,-1.6292179178939761,6.4380543491306472,0.79475235038828551,0.86009827963662566,3.4114313198904398,49,227,0.27089089131367966,71.485169431821262,1.4180328155832702,-0.01084959168719668,0.88941767815925354,7,0.4021826747516048,0.45252547718849911,0.050342802436894318,0,1,1,1,1,3.133327620981107,18.577993369168528,18.169140034434587,7.8028729645717618,43.764328197204449,67.055165163281757,3.166693624541919,23.527264074845313,0,0,23,76,16,15,3.5295516713156165,9.1868378453229909,2.6292179178939756
1,0,0.20000000000000001,0.10000000000000001,1,-0.59062766322873295,3.4866535746456693,0.90485414920566565,0.84947792325396632,3.3722334589006944,56,201,0.423739508522471,29.666083265956264,5.0180479473686068,-0.0113136929221761,0.90485414920566565,7,0.39461655661903799,0.45038713280700515,0.055770576187967158,0,1,1,1,1,3.0964312480725442,17.521999223736369,18.169140034434587,7.8028729645717618,43.764328197204449,67.055165163281757,3.1602495448545898,23.224797232388315,0,0,0,0,16,10,6.0666739815164918,9.5708861469254582,1.5906276632287328
1,0,0.20000000000000001,0.10000000000000001,2,-0.7580771884438241,6.4860489800813887,0.78070695142785884,0.85161073679828214,3.8583165984782317,47,232.5,0.28162185786332666,78.810906034875259,1.3160318992759337,-0.010782128311529582,0.83972770630189675,7,0.39461655661903799,0.45038713280700515,0.055770576187967158,0,1,1,1,1,3.2557134167572337,18.735475339187261,18.169140034434587,7.8028729645717618,43.764328197204449,67.055165163281757,3.3272779717091501,23.983011469806954,0,0,27,73,19,17,6.2315409488238078,10.859924896510602,1.7580771884438238
1,0,0.10000000000000001,0.050000000000000003,1,-0.68370817807032325,3.3808605333990718,0.98555956844684656,0.8333751654011039,1.6905109905814013,56,200.5,0.42021157593535452,14.711205365804609,9.9722219497683309,-0.012405288256652436,0.98555956844684656,6,0.40238159603327162,0.4146609526913051,0.01227935665803348,0,1,1,1,1,2.8643728624451339,16.424084485215058,18.169140034434587,7.8028729645717618,43.764328197204449,67.055165163281757,2.8084462347231547,22.347979952836482,0,0,0,0,5,3,2.7197782165354152,4.5232691483538385,1.6837081780703234
1,0,0.10000000000000001,0.050000000000000003,2,-0.84870143631653205,6.3869901558445701,0.96869170300711449,0.83746425979198114,1.9396483055747034,48,205.5,0.22499512415803413,39.61486555344765,2.5009696952244846,-0.011157430544450508,0.95401257853655508,6,0.40238159603327162,0.4146609526913051,0.01227935665803348,0,1,1,1,1,2.9386294547286314,17.177518630740806,18.169140034434587,7.8028729645717618,43.764328197204449,67.055165163281757,2.8887335112142849,22.635726091918251,0,0,8,82,7,6,2.8415659154534563,5.1924837010464957,1.8487014363165322
1,0,0.10000000000000001,0.20000000000000001,1,-2.1002298701275399,3.6833441952049233,0.73508290375358676,0.92354932528190059,5.7511540313942575,57,204,0.42728058110586414,58.020934028234343,2.6571328785799642,-0.010682217738708033,0.73508290375358676,7,0.40756821014861816,0.43099625520113061,0.023428045052512447,0,1,1,1,1,3.4452935574457442,20.297043656532576,18.169140034434587,7.8028729645717618,43.764328197204449,67.055165163281757,3.6797001170399595,24.958733421856323,0,0,1,15,27,20,5.0924076542984276,15.64206622066547,3.1002298701275404
1,0,0.10000000000000001,0.20000000000000001,2,-2.3812317800604523,6.5758469315605472,0.60899106800709735,0.93376932547428781,6.4422854294125811,46.5,348,0.39376543067354303,133.03927036611529,0.85042763157172852,-0.010534411813905908,0.63271993323405429,7,0.40756821014861816,0.43099625520113061,0.023428045052512447,0,1,1,1,1,3.5215714889526368,21.545062669387669,18.169140034434587,7.8028729645717618,43.764328197204449,67.055165163281757,4.0980986603601242,25.731321657066704,0,0,45,84,29,24,5.1414709636898088,17.204302050527737,3.3812317800604523
1,1,0.050000000000000003,0.10000000000000001,1,-0.52867957968485646,3.439202588312205,0.99594990087301061,0.098543977064091126,1.3122540711271429,56,200,0.41976011951458092,21.096972074000913,6.8231547365263925,-0.013606892062342557,0.99594990087301061,6,0.31730131743931878,0.51204433483940148,0.19474301740008271,0,1,1,1,1,2.5648952490444192,15.710419511961105,19.085913966954312,7.8028729645717618,43.764328197204449,67.055165163281757,2.7821179683369546,22.150295294646469,0,0,0,0,5,2,2.2660086769353547,3.4402694636586384,1.5286795796848562
1,1,0.050000000000000003,0.10000000000000001,2,-0.59923911236248584,6.7575184681003373,0.9670943139284115,0.10422964890124996,1.3821709296828528,54.5,212,0.22124967406524843,30.143423568951075,3.0619504396895016,-0.011497622732916435,0.95659445397164633,6,0.31730131743931878,0.51204433483940148,0.19474301740008271,0,1,1,1,1,2.3445419502956462,16.146592454163009,18.814345712921821,7.8028729645717618,43.764328197204449,67.055165163281757,2.6396528105335295,22.293571669273341,0,0,11,51,7,6,2.295737651778067,3.6438383864316894,1.5992391123624858
