Network,Lambda,PrepPR,MovePR,PrepCaptured15,MoveCaptured15,ObservedAlignment,ExpectedAlignment,AlignmentDeficit,MotorError200Percent,FeedbackEffort,GainFrobeniusNorm
1,0.1,3.10766292380113,3.37192077593986,0.999906599598411,0.998235536779927,1,0.825998660371111,-0.174001339628889,0.0223175548511694,28.884359515888,44.2735149742823
1,0.2,3.1250682364474,3.38513196813374,0.999888805688587,0.998242182552111,0.997783931834598,0.825998660371111,-0.171785271463487,0.0313745811040272,20.5248024191318,31.2061587170153
1,0.5,3.12893271098093,3.39016194417736,0.999869259183849,0.998260923183588,0.98491470189561,0.825998660371111,-0.1589160415245,0.0582827973335396,12.8135995159976,19.6130084439756
1,1,3.1115807093044,3.37977070566035,0.999853244137221,0.998293200041386,0.964869391965584,0.825998660371111,-0.138870731594474,0.108349827167713,8.67642349144669,13.7654702271758
1,2,3.07518361755649,3.3560433775612,0.999832543037237,0.998349712146008,0.935948077971721,0.825998660371111,-0.109949417600611,0.226340933839087,5.62002425145339,9.62206483790355
1,5,3.00513530460677,3.30875721770387,0.999802588849313,0.998450771342431,0.888316153534192,0.825998660371111,-0.0623174931630811,0.627196295298574,2.9208444860396,5.92901394929095
1,10,2.95622366627516,3.27213677195069,0.999774553789689,0.998523361647982,0.851750336939196,0.825998660371111,-0.0257516765680856,1.39715342485405,1.67977775515272,4.05609446337264
1,100,2.93327425457174,3.17878374673855,0.999647210892176,0.998594573667289,0.770793710543071,0.825998660371111,0.0552049498280394,13.8259839635208,0.169483309379988,0.975163122388558
2,0.1,3.24357477306895,3.496074031706,0.999931421246126,0.998549654098096,1,0.852625073234613,-0.147374926765387,0.0048801548709173,28.7853396597427,44.2160501817194
2,0.2,3.24727757147777,3.50939554383182,0.999926288910304,0.998560296549906,0.999033582188747,0.852625073234613,-0.146408508954134,0.00976698186895855,20.475412186325,31.1538156401274
2,0.5,3.25486770090291,3.52327106321683,0.999917863890527,0.998564837472026,0.99418911678622,0.852625073234613,-0.141564043551607,0.0273131260558491,12.8962413139054,19.5659734906526
2,1,3.25889612857719,3.53091544057455,0.999907867761128,0.998565829843342,0.986029030063998,0.852625073234613,-0.133403956829385,0.0637077768248732,8.87497784312962,13.7199555518647
2,2,3.25550567477437,3.53403304576389,0.999891656152572,0.998570951298171,0.971946046273155,0.852625073234613,-0.119320973038542,0.145185253632363,5.90319406143073,9.57557645106825
2,5,3.22870580853883,3.52497533619019,0.99985734160652,0.998591897576745,0.943688576576361,0.852625073234613,-0.0910635033417483,0.430963024909629,3.22038526007018,5.87971315424981
2,10,3.18921944914521,3.50419231749175,0.999828508135501,0.998617402021809,0.917258459923816,0.852625073234613,-0.0646333866892028,1.05844377118078,1.92425402651735,4.0065587585028
2,100,3.06417830769448,3.37072430279338,0.999747687357626,0.998595465709839,0.827596678627873,0.852625073234613,0.02502839460674,13.1633657661862,0.201924343653346,0.944964128809773
3,0.1,3.19855657786631,3.24993980479578,0.999932221928694,0.998509253806909,1,0.84069926861312,-0.15930073138688,0.0102996877329387,31.3510182605519,44.2901442413267
3,0.2,3.22556250286757,3.27614693896719,0.999919361241001,0.998506873371805,0.997967191304103,0.84069926861312,-0.157267922690983,0.0143905239494477,22.3146541328463,31.2235658661194
3,0.5,3.25502731989606,3.31756371427018,0.999895563731952,0.998510433881188,0.988841695470404,0.84069926861312,-0.148142426857284,0.0266693906485169,14.0346947901502,19.6304869333156
3,1,3.27129998683641,3.34848763444453,0.999870683212001,0.998517110355904,0.9766197309916,0.84069926861312,-0.13592046237848,0.0549860611783498,9.63569209385193,13.7818062362857
3,2,3.28295401325956,3.37433195206137,0.999840611760133,0.998526340810983,0.959053259057511,0.84069926861312,-0.118353990444391,0.135904523760845,6.39330312848872,9.63593709746835
