Network,PrepMoveObserved,Expected,PRSlope,DeficitSlope
1,0.961481907209697,0.825998660371111,-0.0744426547438503,0.0820790317678235
2,0.967365773649029,0.852625073234613,-0.0562217015651112,0.0575012617618031
3,0.957913298124591,0.84069926861312,0.0573601956085389,0.0608596353308526
4,0.966304731804125,0.866707192959725,-0.0644083684201027,0.0709819824097887
5,0.970150110769836,0.845906380440937,0.0443265231492665,0.0450011688141673
6,0.971513007506507,0.855798158760063,-0.0212017305788058,0.0472657216370896
7,0.97230953115599,0.843600752537567,-0.0201947767038094,0.0544802036776325
8,0.973499915599372,0.848458980592956,-0.00406992047351668,0.0525258373146447
9,0.967556814138033,0.845363436094976,-0.00167490032450339,0.0664429919055956
10,0.972174254931534,0.865364273960937,-0.0101833473399831,0.0517959602724052
