network,eta,condition,target,trial,fold,referenceK95,cueDistance,pregoDistance,convergence,foldMean
1,1,1,1,1,1,100,2.95639069296578,3.65221458561915,-0.23536263130207,-0.170714626165708
1,1,1,1,2,3,101,3.39386463892215,2.92128155857302,0.139246296074795,-0.0364550376106921
1,1,1,1,3,2,100,3.57862274004058,3.27141406174281,0.0858455055517503,0.0111823765525946
1,1,1,1,4,3,101,3.1767811346967,3.17052547340383,0.00196918233508192,-0.0364550376106921
1,1,1,1,5,2,100,3.16551546538761,3.15918507345975,0.00199979813621964,0.0111823765525946
1,1,1,1,6,1,100,2.92549660399917,3.59342608154422,-0.228313195315964,-0.170714626165708
1,1,1,1,7,1,100,3.06190804118132,3.52609680149797,-0.151601143494029,-0.170714626165708
1,1,1,1,8,1,100,2.73156384680473,3.10579041998493,-0.137000851588354,-0.170714626165708
1,1,1,1,9,1,100,3.12647106005234,3.0820097279755,0.0142209319142382,-0.170714626165708
1,1,1,1,10,3,101,2.95526954313675,3.21112399107066,-0.0865756724384428,-0.0364550376106921
1,1,1,1,11,2,100,3.31746463537444,2.99494097864702,0.0972199230967883,0.0111823765525946
1,1,1,1,12,2,100,3.2566743107341,3.14115935325982,0.0354702209838864,0.0111823765525946
1,1,1,1,13,2,100,3.02510273283143,2.7108798319558,0.103871811514159,0.0111823765525946
1,1,1,1,14,2,100,3.23383331265311,3.16858926166189,0.0201754526851878,0.0111823765525946
1,1,1,1,15,3,101,3.00443306958222,3.22890394081823,-0.0747132207765309,-0.0364550376106921
1,1,1,1,16,1,100,3.11851711868958,3.91007262445214,-0.253824325997341,-0.170714626165708
1,1,1,1,17,2,100,3.12673086099779,3.46735132553097,-0.108938210442738,0.0111823765525946
1,1,1,1,18,3,101,3.40665063983182,3.34800810591312,0.017214132037207,-0.0364550376106921
1,1,1,1,19,2,100,3.16438165748187,3.18329688581035,-0.00597754328519895,0.0111823765525946
1,1,1,1,20,2,100,3.21966897411603,3.55046324109681,-0.10274170097614,0.0111823765525946
1,1,1,1,21,3,101,2.80673372183973,3.1192252017583,-0.111336347116584,-0.0364550376106921
1,1,1,1,22,1,100,3.23734730429685,3.99937480152636,-0.235386390647085,-0.170714626165708
1,1,1,1,23,2,100,3.14391356255995,3.19139134724984,-0.0151014917379688,0.0111823765525946
1,1,1,1,24,3,101,3.27557956972821,3.24786539910269,0.00846084487815157,-0.0364550376106921
1,1,1,1,25,3,101,3.29433470361819,3.57399158363796,-0.0848902449749931,-0.0364550376106921
1,1,1,1,26,1,100,2.93405826537047,3.84479320242269,-0.310401108185637,-0.170714626165708
1,1,1,1,27,1,100,3.0053961981524,3.50183601507702,-0.165182819233554,-0.170714626165708
1,1,1,1,28,3,101,3.12910204580355,3.69141501234417,-0.179704259659648,-0.0364550376106921
1,1,1,1,29,1,100,3.38068188022635,3.39520098870493,-0.00429472780728335,-0.170714626165708
1,1,1,1,30,3,101,3.54116128910744,3.52069722420759,0.00577891353404225,-0.0364550376106921
1,1,1,2,1,2,92,3.18793716638067,3.05491944495138,0.0417253272216495,-0.196785254305171
1,1,1,2,2,3,92,3.29702187495428,3.26861767676625,0.00861510759264317,-0.0904124658938509
1,1,1,2,3,3,92,3.22633702981211,3.37351694063838,-0.0456182690978353,-0.0904124658938509
1,1,1,2,4,2,92,2.72324195147098,4.22941195215274,-0.553079758435786,-0.196785254305171
1,1,1,2,5,1,92,2.77741909007055,3.41769467678311,-0.230528978864439,-0.111744727153599
1,1,1,2,6,2,92,2.93626926941215,3.28180494744355,-0.117678470987294,-0.196785254305171
1,1,1,2,7,2,92,3.19936419985495,3.62574159756355,-0.13326941575702,-0.196785254305171
