network,source,amplitude,PR,observed,expected,deficit,normalizedResidualVariance,rawResidualVariance,rateMax,stateMax,inputMax,boundsPass,numericalRank
1,1,0,3.43987371232275,0.999978617149811,0.51204268743308,-0.487935929716731,0.114007858952365,0.0089295631925966,2.5556589899347,15.7349589528399,19.0894261206768,1,77
1,1,0.05,3.43920258831221,0.999994621340047,0.51204268743308,-0.487951933906967,0.114117532330001,0.00893786596931533,2.56489524904442,15.7104195119611,19.0859139669543,1,77
1,1,0.1,3.43857966718901,0.999999999999999,0.51204268743308,-0.487957312566919,0.114393995890315,0.00895923612153644,2.57503913920671,15.6887000845934,19.0824758400695,1,77
1,1,0.2,3.43746203304901,0.999977900299974,0.51204268743308,-0.487935212866894,0.115451082002963,0.00904147855917983,2.62297081972113,16.0863984930874,19.1492340238043,1,77
1,1,0.4,3.43567003526402,0.999797036605812,0.51204268743308,-0.487754349172733,0.119571234582299,0.00936332984837812,2.75338439545939,17.4341318185466,20.1908170035108,1,77
1,2,0,3.38858915791514,0.994109305166811,0.51204268743308,-0.482066617733732,0.000339373283273766,2.66317923053247e-05,2.445657650533,15.4137121934451,18.7396735575714,1,63
1,2,0.05,3.40413373296747,0.99851126925824,0.51204268743308,-0.486468581825161,0.028871280905922,0.00226146744926561,2.50112157765947,15.4842765490937,18.7461911565175,1,77
1,2,0.1,3.43857966718901,0.999999999999999,0.51204268743308,-0.487957312566919,0.114393995890315,0.00895923612153644,2.57503913920671,15.6887000845934,19.0824758400695,1,77
1,2,0.2,3.56720836960328,0.994119805329151,0.51204268743308,-0.482077117896072,0.455088895700838,0.0356213010376983,2.78349028637693,16.8290189584482,19.8216688113869,1,77
1,2,0.4,4.0213037002047,0.950081342553563,0.51204268743308,-0.438038655120484,1.76063000474148,0.137462359354204,3.31610602944719,19.439750305057,21.5220160001656,1,77
2,1,0,3.90213249384642,0.999974190964681,0.526482765883759,-0.473491425080922,0.123099832462173,0.00928717493669644,2.41382593492894,15.5755466280133,20.7954677316695,1,77
2,1,0.05,3.90293403508137,0.999993528861398,0.526482765883759,-0.473510762977639,0.123236456944721,0.00929840300991136,2.41646233155638,15.5898550575691,20.8015353027967,1,77
2,1,0.1,3.90382172766591,1,0.526482765883759,-0.473517234116241,0.123582118665323,0.00932552972637114,2.41909872818383,15.6043862543278,20.8078949458722,1,77
2,1,0.2,3.90581952487365,0.99997381888027,0.526482765883759,-0.473491052996511,0.124900242592407,0.00942747967179185,2.42437152143871,16.1049622580058,21.0326148105311,1,77
2,1,0.4,3.91071356837635,0.999762576448556,0.526482765883759,-0.473279810564797,0.130023372357306,0.0098205034311425,2.89431798005885,17.8749578762868,21.8210259903357,1,77
