network,lambda,PR,observed,expected
1,0.1,3.71306541178025,1,0.441690236208327
1,0.2,3.72522810248442,0.996785562858972,0.441690236208327
1,0.5,3.70900220576022,0.97740610685064,0.441690236208327
1,1,3.65957317481218,0.945261348063721,0.441690236208327
1,2,3.57476696868336,0.897407511182596,0.441690236208327
1,5,3.42921062897895,0.822242244791461,0.441690236208327
1,10,3.33357936087167,0.769640635839286,0.441690236208327
1,100,3.29215249458718,0.67553405012036,0.484388329759144
2,0.1,3.43047746515163,1,0.498476541048417
2,0.2,3.42939073297438,0.998614549415139,0.498476541048417
2,0.5,3.43550211373532,0.991890549647449,0.498476541048417
2,1,3.44045980174955,0.980887354050256,0.498476541048417
2,2,3.43799052915152,0.961793715781153,0.498476541048417
2,5,3.4101734488876,0.922301764723201,0.498476541048417
2,10,3.36810230615815,0.884929543926653,0.498476541048417
2,100,3.24503099833649,0.769999874627956,0.498476541048417
3,0.1,3.67719231382395,0.999999999999999,0.454678564200124
3,0.2,3.68771930888263,0.997107325073858,0.454678564200124
3,0.5,3.68076325658799,0.983845070699257,0.454678564200124
3,1,3.66342027979208,0.965817643999663,0.454678564200124
3,2,3.64310277141548,0.939341076761556,0.454678564200124
3,5,3.61523506314005,0.890505753534177,0.454678564200124
3,10,3.59749348037375,0.846496072406043,0.454678564200124
3,100,3.62029483594999,0.720853778786275,0.499711565915435
4,0.1,3.06693364249697,0.999999999999999,0.497793150552583
4,0.2,3.03281190391049,0.995616838212039,0.497793150552583
4,0.5,2.96357715097202,0.971428235943928,0.497793150552583
4,1,2.88648541734786,0.93566473970806,0.497793150552583
4,2,2.80977419300819,0.887183996355225,0.497793150552583
4,5,2.7528871958482,0.809858149834038,0.497793150552583
4,10,2.75618730248503,0.752902749580925,0.497793150552583
4,100,2.90724590759583,0.665560427029048,0.546535578945415
5,0.1,4.05427832825067,0.999999999999999,0.462553340749301
5,0.2,4.05206249934918,0.997997048745871,0.462553340749301
5,0.5,4.05221101854188,0.988780136085562,0.462553340749301
5,1,4.05904049830319,0.975215919036827,0.462553340749301
5,2,4.07025397969967,0.953860627282459,0.462553340749301
5,5,4.07642109616361,0.91261955571092,0.462553340749301
5,10,4.06875573971148,0.874255757705771,0.462553340749301
5,100,4.13950346123242,0.753768277764229,0.509971239077597
6,0.1,3.6021922602876,1,0.500470498788671
6,0.2,3.60520382896466,0.998692212970607,0.500470498788671
6,0.5,3.6258322696885,0.992728391128069,0.500470498788671
6,1,3.6476493042729,0.983833566212524,0.500470498788671
6,2,3.66432865605029,0.968908170228455,0.500470498788671
6,5,3.658933591768,0.936597154388018,0.500470498788671
6,10,3.62419156225568,0.902626295033348,0.500470498788671
6,100,3.35782479357985,0.765803944918627,0.500470498788671
7,0.1,3.55690931993904,0.999999999999999,0.469567891764813
7,0.2,3.55647725626209,0.997993139007661,0.469567891764813
7,0.5,3.54810404244683,0.987665151475977,0.469567891764813
7,1,3.52815601509732,0.970744121754916,0.469567891764813
7,2,3.48618473088749,0.942590642902137,0.469567891764813
7,5,3.38951925620107,0.889041886806501,0.469567891764813
7,10,3.31804139725168,0.843748003415442,0.469567891764813
7,100,3.39380617205888,0.724450321870938,0.469567891764813
8,0.1,3.60426869533104,1,0.477513876489203
8,0.2,3.60455972107827,0.9979920180455,0.477513876489203
8,0.5,3.60889043957587,0.987306245609491,0.477513876489203
8,1,3.60541397475237,0.970293326953109,0.477513876489203
8,2,3.58871076378858,0.943790928074999,0.477513876489203
8,5,3.55540498308906,0.896717806591981,0.517647756198534
8,10,3.53492829654081,0.85572599645175,0.517647756198534
8,100,3.47760306161702,0.712259091339002,0.517647756198534
9,0.1,3.2738266868018,1,0.482225400291926
9,0.2,3.25975199576964,0.998249507710665,0.482225400291926
9,0.5,3.24147043445506,0.988937641561892,0.482225400291926
9,1,3.22519862823329,0.973346532630726,0.482225400291926
9,2,3.20028932066596,0.947325323707633,0.482225400291926
9,5,3.14548703280138,0.896898127882663,0.482225400291926
9,10,3.0959284774972,0.85164722263718,0.482225400291926
9,100,3.10843922196941,0.711527111028288,0.524392105647624
10,0.1,3.39835960971049,1,0.462671606508297
10,0.2,3.39061355057409,0.998350064897025,0.462671606508297
10,0.5,3.37294467065345,0.990724753524831,0.462671606508297
10,1,3.35397790127954,0.978800809335264,0.514999223664752
10,2,3.33485628217425,0.959476770549086,0.514999223664752
10,5,3.31611751267512,0.919480313737923,0.514999223664752
10,10,3.30994597545037,0.880043621774476,0.514999223664752
10,100,3.32837644271965,0.761216124633025,0.514999223664752
