network,policy,target,endpointRmsMM,medianMOms,medianPeakMs,medianPeakSpeedMps,nearZero,boundaryPeak,missingWindow
1,1,1,19.8504181044337,57,201,0.432373682719812,0,0,0
1,1,2,23.6602454444208,56.5,200,0.418915011581239,0,0,0
1,1,3,21.7442777269734,56,204,0.423566780060657,0,0,0
1,1,4,24.8078334752939,56,201,0.423742108298938,0,0,0
1,1,5,22.4987598208174,56,201,0.438099755796308,0,0,0
1,1,6,18.6169810375841,56,201,0.403773151619334,0,0,0
1,1,7,19.946634508378,56.5,201,0.413981919788239,0,0,0
1,1,8,17.6261437912248,54.5,198,0.420334912594157,0,0,0
1,2,1,26.3465666350913,57,202,0.434060431355183,0,0,0
1,2,2,32.6126029350216,56.5,199.5,0.42800596700169,0,0,0
1,2,3,34.1039532598593,55.5,204.5,0.431453200033626,0,0,0
1,2,4,33.1117566775761,54.5,200.5,0.414473790557885,0,0,0
1,2,5,34.4161549461279,56,199.5,0.434583227007064,0,0,0
1,2,6,27.8456778836529,54.5,201.5,0.405890700772526,0,0,0
1,2,7,29.8077590788886,56,202,0.424416264871099,0,0,0
1,2,8,24.4886795345805,54,197,0.416917252967994,0,0,0
1,3,1,19.9583580441833,48,194,0.296968752340636,0,0,0
1,3,2,23.2661886690619,36,191,0.290317958621193,0,0,0
1,3,3,21.3045233198586,49,192.5,0.256886193312081,0,0,0
1,3,4,24.6953793537713,38,187.5,0.261100686724115,0,0,0
1,3,5,23.0091370237823,45,191.5,0.310042971817842,0,0,0
1,3,6,18.3330006319384,42,188,0.276967920496515,0,0,0
1,3,7,19.592410520044,42,186,0.324506265439711,0,0,0
1,3,8,17.9914533705567,49.5,193,0.249515264898739,0,0,0
1,4,1,26.1613172716015,63,212,0.25465916331057,0,0,0
1,4,2,30.9180148049701,53.5,232,0.189135270092809,0,0,0
1,4,3,32.3917880832501,63,217.5,0.216631213499094,0,1,0
1,4,4,31.9820570591455,47,206.5,0.213333093156127,0,5,0
1,4,5,36.4822303463638,55.5,208.5,0.267875536107614,0,1,0
1,4,6,27.7920614120851,50,198,0.221635874590206,0,0,0
1,4,7,29.1024388653244,46.5,190.5,0.238209567839078,0,2,0
1,4,8,26.3174884180153,66,259.5,0.202695885783227,0,1,0
2,1,1,20.6924801755871,56,200,0.42844337116103,0,0,0
2,1,2,17.2266703849748,56.5,200,0.416671612128841,0,0,0
2,1,3,18.4760979676626,54.5,203,0.419295030871821,0,0,0
2,1,4,21.3640634780709,57.5,201,0.406403956825188,0,0,0
2,1,5,19.2857611203656,54,199,0.411640584199186,0,0,0
2,1,6,17.308784770699,55,201.5,0.414785190961259,0,0,0
2,1,7,18.4859992485283,56,200,0.417886067477338,0,0,0
2,1,8,15.1717818369825,55,199,0.42379664289291,0,0,0
2,2,1,32.0533608580537,54.5,199.5,0.436803020143613,0,0,0
2,2,2,26.8000581972703,56.5,200,0.420639665005416,0,0,0
2,2,3,27.7844891225804,54,202,0.418820185271845,0,0,0
2,2,4,29.8268847492481,58,199.5,0.393628990648932,0,0,0
2,2,5,29.3050920755122,54,197.5,0.41236468965648,0,0,0
2,2,6,24.3294296508352,54,201,0.4222036281247,0,0,0
2,2,7,28.2907247994092,56,200,0.418139488161544,0,0,0
2,2,8,22.8962451832589,54.5,198.5,0.417554151751831,0,0,0
2,3,1,21.2905444179085,38,178,0.305468128558608,0,0,0
2,3,2,17.1900811716004,43,194.5,0.341724529133063,0,0,0
2,3,3,18.646959163082,40,188.5,0.249935824242436,0,0,0
2,3,4,21.1115049597887,40.5,178,0.280291949495963,0,0,0
2,3,5,19.2010043542936,44.5,206,0.346238257824555,0,0,0
2,3,6,17.0681718546103,40,188.5,0.272945682610846,0,0,0
2,3,7,18.0907265318627,39,194,0.341303062274063,0,0,0
2,3,8,15.176047530084,43,203,0.270968802493325,0,0,0
2,4,1,32.8998398181238,42.5,179.5,0.235367020613367,0,2,0
2,4,2,26.2798437378377,56.5,214.5,0.26091657490608,0,0,0
2,4,3,27.1895361615408,45,460.5,0.17686160137463,0,4,0
2,4,4,28.6798147446504,46,182,0.207134223074516,0,0,0
2,4,5,29.6414432071476,46.5,217,0.366652029934575,0,0,0
2,4,6,24.1760017535862,52,221.5,0.221283352214933,0,0,0
2,4,7,27.7563462826181,53.5,217,0.268358238900019,0,0,0
2,4,8,22.5885117164293,59,225,0.21865515814049,0,0,0
3,1,1,20.1807331495177,56,202,0.418235630310446,0,0,0
3,1,2,18.5319529666979,56.5,199.5,0.416115662798992,0,0,0
3,1,3,17.6317681469775,56,204,0.423513155783726,0,0,0
3,1,4,16.2720731045133,55,197,0.408487246998613,0,0,0
3,1,5,15.341419313979,56,201,0.425340730210277,0,0,0
3,1,6,15.6123362606174,56,202.5,0.41553442195574,0,0,0
3,1,7,17.9735550847898,56,201,0.408024882346643,0,0,0
3,1,8,17.917751633552,55.5,199.5,0.421013646581127,0,0,0
3,2,1,27.0060670187975,57,202.5,0.417712599878066,0,0,0
3,2,2,26.7856467499908,56,199,0.41707739610815,0,0,0
3,2,3,23.587063018566,56,206,0.432136576450534,0,0,0
3,2,4,25.1094117183403,54.5,196,0.404434144229265,0,0,0
3,2,5,22.7612640821848,56,202,0.426125495794986,0,0,0
3,2,6,22.6743560087783,56,202,0.413323644781781,0,0,0
3,2,7,27.1742816986003,56,201,0.409651465170724,0,0,0
3,2,8,22.9635162949556,55.5,199,0.420849151440528,0,0,0
3,3,1,20.2423130363632,55,206.5,0.349650484983062,0,0,0
3,3,2,18.6184832943608,42,195,0.321922593943197,0,0,0
3,3,3,16.9304593461319,37,177,0.288559200715265,0,0,0
3,3,4,16.1290700731644,43.5,172,0.199082157013886,0,0,0
3,3,5,14.699049104137,50,191.5,0.232585854536696,0,0,0
3,3,6,15.2637738838923,44,188.5,0.314644658153527,0,0,0
3,3,7,17.5314881669129,45,188,0.295212468368349,0,0,0
3,3,8,17.9198704552162,39,181,0.273145290954967,0,0,0
3,4,1,26.6559002130486,61,217.5,0.359984651897955,0,0,0
3,4,2,25.9027605652163,59,206.5,0.191044461515134,0,1,0
3,4,3,21.0753916367146,47,195.5,0.173660321787335,0,0,0
3,4,4,26.013661143285,74.5,599,0.253935482481442,0,18,0
3,4,5,21.3089700666085,68,218,0.19074723501235,0,13,0
3,4,6,21.624723297012,51,195.5,0.233785761304856,0,0,0
3,4,7,26.9874647609838,56.5,401.5,0.182930238571094,0,0,0
3,4,8,23.5381995625195,48,195.5,0.177175469427014,0,0,0
4,1,1,21.8065860752516,56,200,0.418299060797514,0,0,0
4,1,2,20.37132291575,56,198,0.416387868714875,0,0,0
4,1,3,20.072414398407,54,201,0.409263849559554,0,0,0
4,1,4,18.389425486339,58,201.5,0.421930888959106,0,0,0
4,1,5,20.7615605663821,56,200.5,0.418305410085305,0,0,0
4,1,6,20.600378435886,57,202,0.4141016137254,0,0,0
4,1,7,20.6390978189123,55,201.5,0.415523041847721,0,0,0
4,1,8,20.0045882181197,55,198,0.41061791060161,0,0,0
4,2,1,29.0153451776097,55,200.5,0.416697881395015,0,0,0
